year;month;clan;CD_num
1989;02;talek;1
2001;11;talek;1
2002;04;talek;1
2002;05;talek;1
2002;06;talek;2
2002;07;talek;3
2002;08;talek;2
2002;09;talek;3
2002;10;talek;2
2002;11;talek;3
2002;12;talek;2
2003;01;talek;2
2003;02;talek;2
2003;03;talek;2
2003;04;talek;3
2003;05;talek;1
2003;06;talek;2
2003;07;talek;4
2003;08;talek;4
2003;09;talek;3
2003;10;talek;3
2003;11;talek;4
2003;12;talek;3
2004;01;talek;2
2004;02;talek;3
2004;03;talek;1
2004;04;talek;1
2004;05;talek;1
2004;06;talek;1
2004;07;talek;2
2004;08;talek;5
2004;09;talek;2
2004;10;talek;3
2004;11;talek;1
2004;12;talek;1
2005;01;talek;3
2005;02;talek;1
2005;03;talek;1
2005;04;talek;2
2005;05;talek;3
2005;06;talek;2
2005;07;talek;4
2005;08;talek;2
2005;09;talek;3
2005;10;talek;2
2005;11;talek;1
2005;12;talek;2
2006;01;talek;3
2006;02;talek;1
2006;04;talek;1
2006;05;talek;1
2006;06;talek;2
2006;07;talek;4
2006;08;talek;4
2006;09;talek;3
2006;10;talek;4
2006;11;talek;3
2006;12;talek;2
2007;03;talek;1
2007;04;talek;1
2007;05;talek;1
2007;06;talek;2
2007;07;talek;2
2007;08;talek;1
2007;12;talek;1
2008;01;talek;1
2008;04;talek;1
2008;05;talek;3
2008;06;happyzebra;1
2008;06;serenan;1
2008;06;talek;2
2008;07;happyzebra;1
2008;07;serenan;3
2008;07;talek;3
2008;08;happyzebra;1
2008;08;serenan;5
2008;08;talek;2
2008;09;happyzebra;1
2008;09;talek;1
2008;10;happyzebra;1
2008;10;serenan;2
2008;10;talek;5
2008;11;happyzebra;2
2008;11;serenan;1
2008;11;serenas;1
2008;11;talek;3
2008;12;happyzebra;1
2008;12;serenan;1
2008;12;serenas;2
2008;12;talek;2
2009;01;happyzebra;1
2009;01;serenan;2
2009;01;serenas;2
2009;01;talek;2
2009;02;happyzebra;2
2009;02;serenan;1
2009;02;serenas;3
2009;02;talek;1
2009;03;happyzebra;1
2009;03;serenan;2
2009;03;serenas;1
2009;04;happyzebra;1
2009;04;serenan;2
2009;04;serenas;1
2009;04;talek;1
2009;05;happyzebra;1
2009;05;serenan;1
2009;05;serenas;2
2009;05;talek;1
2009;06;happyzebra;1
2009;06;serenan;1
2009;06;serenas;2
2009;06;talek;2
2009;07;happyzebra;1
2009;07;serenan;2
2009;07;serenas;1
2009;07;talek;3
2009;08;happyzebra;2
2009;08;serenan;3
2009;08;serenas;4
2009;08;talek;1
2009;09;happyzebra;3
2009;09;serenan;1
2009;09;serenas;2
2009;09;talek;3
2009;10;happyzebra;2
2009;10;serenas;3
2009;10;talek;4
2009;11;happyzebra;1
2009;11;serenas;4
2009;11;talek;3
2009;12;happyzebra;1
2009;12;serenan;1
2009;12;serenas;3
2009;12;talek;1
2010;01;happyzebra;1
2010;01;serenan;1
2010;01;serenas;4
2010;01;talek;2
2010;02;serenan;1
2010;02;serenas;1
2010;02;talek;1
2010;03;happyzebra;1
2010;03;serenan;1
2010;03;serenas;2
2010;03;talek;2
2010;04;happyzebra;1
2010;04;serenan;1
2010;04;serenas;1
2010;04;talek;1
2010;05;happyzebra;1
2010;05;serenan;1
2010;05;serenas;5
2010;05;talek;1
2010;06;happyzebra;2
2010;06;serenas;4
2010;06;talek;3
2010;07;happyzebra;2
2010;07;serenan;1
2010;07;serenas;5
2010;07;talek;2
2010;08;serenan;4
2010;08;serenas;3
2010;08;talek;2
2010;09;happyzebra;3
2010;09;serenan;5
2010;09;serenas;1
2010;09;talek;3
2010;10;happyzebra;4
2010;10;serenan;4
2010;10;serenas;6
2010;10;talek;3
2010;11;happyzebra;3
2010;11;serenan;4
2010;11;serenas;5
2010;11;talek;3
2010;12;happyzebra;3
2010;12;serenan;1
2010;12;serenas;2
2010;12;talek;1
2011;01;happyzebra;4
2011;01;serenan;7
2011;01;serenas;4
2011;01;talek;2
2011;02;happyzebra;4
2011;02;serenan;5
2011;02;serenas;3
2011;02;talek;1
2011;03;happyzebra;3
2011;03;serenan;5
2011;03;serenas;3
2011;03;talek;3
2011;04;happyzebra;3
2011;04;serenan;3
2011;04;serenas;3
2011;04;talek;4
2011;05;happyzebra;1
2011;05;serenan;3
2011;05;serenas;4
2011;05;talek;4
2011;06;happyzebra;1
2011;06;serenan;4
2011;06;serenas;5
2011;06;talek;3
2011;07;happyzebra;2
2011;07;serenan;6
2011;07;serenas;3
2011;07;talek;3
2011;08;happyzebra;1
2011;08;serenan;3
2011;08;serenas;1
2011;08;talek;5
2011;09;serenan;3
2011;09;talek;1
2011;10;happyzebra;2
2011;10;serenan;3
2011;10;talek;1
2011;11;happyzebra;1
2011;11;serenan;2
2011;11;serenas;1
2011;11;talek;4
2011;12;happyzebra;2
2011;12;serenas;1
2011;12;talek;2
2012;01;happyzebra;1
2012;01;serenan;1
2012;01;serenas;1
2012;01;talek;2
2012;02;happyzebra;1
2012;02;serenan;2
2012;02;serenas;1
2012;02;talek;1
2012;03;happyzebra;1
2012;03;serenan;2
2012;03;serenas;3
2012;03;talek;2
2012;04;happyzebra;2
2012;04;serenan;2
2012;04;serenas;3
2012;04;talek;1
2012;05;happyzebra;1
2012;05;talek;2
2012;06;happyzebra;1
2012;06;serenan;1
2012;06;serenas;1
2012;06;talek;3
2012;07;happyzebra;1
2012;07;serenan;3
2012;07;talek;2
2012;08;happyzebra;2
2012;08;serenan;3
2012;08;serenas;1
2012;08;talek;2
2012;09;happyzebra;2
2012;09;serenan;1
2012;09;serenas;2
2012;09;talek;2
2012;10;happyzebra;3
2012;10;serenan;2
2012;10;serenas;1
2012;10;talek;3
2012;11;serenan;1
2012;11;serenas;2
2012;11;talek;3
2012;12;happyzebra;1
2012;12;serenan;2
2012;12;serenas;1
2012;12;talek;2
2013;01;happyzebra;1
2013;01;serenan;3
2013;01;serenas;1
2013;01;talek;2
2013;02;happyzebra;2
2013;02;serenan;3
2013;02;serenas;3
2013;02;talek;2
2013;03;happyzebra;2
2013;03;serenan;2
2013;03;serenas;1
2013;03;talek;2
2013;04;happyzebra;1
2013;04;serenan;2
2013;04;serenas;1
2013;04;talek;2
