landmark_id;utme;utmn;clan
DOC_Den_2;747700;9837031;talek
Disappointment_Den;721449;9846717;happyzebra
Alumni_Den;718903;9833540;happyzebra
Schiphol_Den;723441;9844921;serenan
Grits_Den;724180;9846138;serenan
Benedict_Den;723973;9846252;serenan
Rocky_Point_Den;716191;9842646;happyzebra
Bordello_Den;721485;9847576;serenan
Flapjack_Den;724252;9846273;serenan
Stanky_Watering_Hole;721834;9847328;serenan
Mindy's_Den;721772;9847129;serenan
DeGaulle_Den;723652;9844975;serenan
Holy_Grail_Den;719087;9840152;happyzebra
National_Cornchip_Day_Den;720449;9847591;serenan
Lalalugga;724043;9846510;serenan
Texarkana_Den;716373;9842739;happyzebra
Ollivander's_Den;719224;9848877;serenan
All_Hallows'_Eve_Den;720265;9848034;serenan
Kruuk's_Culvert;724529;9846377;serenan
The_Grotto;723715;9846490;serenan
Lugga_Den_II;718642;9844590;happyzebra
Wapi_Dave_Den;714577;9847556;happyzebra
Lugga_Den;718649;9844548;happyzebra
Runway_Den_3;723190;9844517;serenan
Runway_Den;723060;9844579;serenan
Airfield;723651;9844648;serenan
Snowbird_Den;725146;9840846;serenas
Dawn_Den;725153;9840668;serenas
Dawn_Den_2;725266;9840651;serenas
Foggy_Den;724958;9840745;serenas
Armani_Den;715027;9847714;happyzebra
Lilac_Breasted_Roller_Den;714856;9847447;happyzebra
Foxy_Ditch_With_a_B;722517;9844773;serenan
Oceanic_Den;725466;9841032;serenas
Big_Sky_Den;725670;9841131;serenas
Dudu_Den;725634;9840969;serenas
Dudu_Den_2;725661;9841009;serenas
Big_Bush_Communal_Den;748061;9838502;serenas
Hanging_Gardens_Den;724783;9841530;serenas
Library_of_Alexandria_Den;724889;9841438;serenas
Jalapeno_Den;718268;9844620;happyzebra
Super_Conspicuous_Bush;718541;9844712;happyzebra
Challah_Den;717707;9844717;happyzebra
Sleepy_Den;731627;9840990;happyzebra
Nogales_Den;716267;9842643;happyzebra
Innocent_Den;717831;9844399;happyzebra
Hullabaloo_Den_2;716585;9843403;happyzebra
Metropolitan_Tree;716285;9842750;happyzebra
Tijuana_Den;716446;9842598;happyzebra
Runway_Den_4;723175;9844446;serenan
Twix_Den_2;726354;9842516;serenas
Suzi_Den_III;726324;9842426;serenas
