landmark_id,utme,utmn,clan,X,Y
DOC_Den_2,747700,9837031,talek,35.22618521,-1.473308596
Disappointment_Den,721449,9846717,happyzebra,34.99028212,-1.385954748
Alumni_Den,718903,9833540,happyzebra,34.96751155,-1.505118924
Schiphol_Den,723441,9844921,serenan,35.00819172,-1.402178373
Grits_Den,724180,9846138,serenan,35.0148214,-1.391168968
Benedict_Den,723973,9846252,serenan,35.01296089,-1.390139819
Rocky_Point_Den,716191,9842646,happyzebra,34.94307451,-1.422804306
Bordello_Den,721485,9847576,serenan,34.99059907,-1.378187599
Flapjack_Den,724252,9846273,serenan,35.0154672,-1.389947793
Stanky_Watering_Hole,721834,9847328,serenan,34.99373631,-1.380427312
Mindy's_Den,721772,9847129,serenan,34.99318081,-1.38222709
DeGaulle_Den,723652,9844975,serenan,35.0100869,-1.401688486
Holy_Grail_Den,719087,9840152,happyzebra,34.96911211,-1.445332545
National_Cornchip_Day_Den,720449,9847591,serenan,34.98129165,-1.378059784
Lalalugga,724043,9846510,serenan,35.01358778,-1.387806537
Texarkana_Den,716373,9842739,happyzebra,34.94470895,-1.421962013
Ollivander's_Den,719224,9848877,serenan,34.97027679,-1.36644112
All_Hallows'_Eve_Den,720265,9848034,serenan,34.9796353,-1.374055639
Kruuk's_Culvert,724529,9846377,serenan,35.01795491,-1.389005326
The_Grotto,723715,9846490,serenan,35.01064125,-1.387989894
Lugga_Den_II,718642,9844590,happyzebra,34.96508009,-1.405208074
Wapi_Dave_Den,714577,9847556,happyzebra,34.92853748,-1.378419842
Lugga_Den,718649,9844548,happyzebra,34.9651433,-1.405587781
Runway_Den_3,723190,9844517,serenan,35.00593988,-1.405833157
Runway_Den,723060,9844579,serenan,35.0047715,-1.405273582
Airfield,723651,9844648,serenan,35.01008044,-1.404645115
Snowbird_Den,725146,9840846,serenas,35.0235412,-1.439009526
Dawn_Den,725153,9840668,serenas,35.02360551,-1.44061887
Dawn_Den_2,725266,9840651,serenas,35.02462083,-1.440771669
Foggy_Den,724958,9840745,serenas,35.02185303,-1.439924234
Armani_Den,715027,9847714,happyzebra,34.93257922,-1.376987894
Lilac_Breasted_Roller_Den,714856,9847447,happyzebra,34.93104487,-1.379403385
Foxy_Ditch_With_a_B,722517,9844773,serenan,34.99989174,-1.4035237
Oceanic_Den,725466,9841032,serenas,35.02641457,-1.437325227
Big_Sky_Den,725670,9841131,serenas,35.02824649,-1.436428476
Dudu_Den,725634,9840969,serenas,35.02792436,-1.437893496
Dudu_Den_2,725661,9841009,serenas,35.02816661,-1.437531617
Big_Bush_Communal_Den,748061,9838502,serenas,35.22941485,-1.460006962
Hanging_Gardens_Den,724783,9841530,serenas,35.0202746,-1.432827985
Library_of_Alexandria_Den,724889,9841438,serenas,35.02122762,-1.433658966
Jalapeno_Den,718268,9844620,happyzebra,34.9617198,-1.40493966
Super_Conspicuous_Bush,718541,9844712,happyzebra,34.96417177,-1.40410573
Challah_Den,717707,9844717,happyzebra,34.95667897,-1.404066845
Sleepy_Den,731627,9840990,happyzebra,35.08176374,-1.437654846
Nogales_Den,716267,9842643,happyzebra,34.94375734,-1.422830854
Innocent_Den,717831,9844399,happyzebra,34.9577954,-1.406941244
Hullabaloo_Den_2,716585,9843403,happyzebra,34.94660859,-1.415956507
Metropolitan_Tree,716285,9842750,happyzebra,34.94391825,-1.421863221
Tijuana_Den,716446,9842598,happyzebra,34.94536587,-1.423236379
Runway_Den_4,723175,9844446,serenan,35.00580567,-1.406475233
Twix_Den_2,726354,9842516,serenas,35.03438042,-1.423900477
Suzi_Den_III,726324,9842426,serenas,35.03411162,-1.424714453
Love_Shack_Mound,726404,9842532,serenas,35.03482949,-1.423755414
Biscuits_n'_Gravy_Den,722792,9845795,serenan,35.00235448,-1.394280957
Guava_Den,725917,9842387,serenas,35.03045552,-1.42507032
Muffin_Den,723990,9845939,serenan,35.01311601,-1.392969721
Boo_Tree,722656,9846214,serenan,35.00112948,-1.390493528
Unremarkable_Tree,722867,9847182,serenan,35.00301771,-1.381739548
IAT_Den,718355,9849119,serenan,34.96246796,-1.364259408
J_Fab_Den,718389,9849092,serenan,34.96277361,-1.364503289
The_Hatch_Den,727333,9840695,serenas,35.04319013,-1.440357157
Casino_X,727028,9841002,serenas,35.04044759,-1.437583894
Circe_Den,724870,9840956,serenas,35.02106076,-1.438017164
The_Staff_Den,727253,9840510,serenas,35.04247291,-1.442030477
Burning_Den,721298,9846439,serenan,34.98892765,-1.388469508
Superstar_Den,724855,9840062,serenas,35.02093313,-1.446100466
Lighthouse_Den,727206,9840510,serenan,35.04205067,-1.442030859
Superstar_Den_2,724791,9840072,serenas,35.02035808,-1.446010566
Def_Leppard_Crossing,727558,9840214,serenas,35.04521537,-1.444704271
Eyrie_Den,718933,9843943,happyzebra,34.96769937,-1.411055961
Eyrie_Den_2,718888,9843911,happyzebra,34.96729533,-1.411345645
Superstar_Den_3,724828,9840099,serenas,35.02069027,-1.445766145
Nchoko_Den,724749,9839441,serenas,35.01998581,-1.451716151
Nchoko_Den_2,724689,9839404,serenas,35.01944707,-1.452051174
Lone_Elephant_Den,724765,9839596,serenas,35.02012831,-1.450314574
Lone_Elephant_Den2,724875,9839737,serenas,35.02111542,-1.449038822
Lone_Elephant_Den_3,724854,9839665,serenas,35.02092733,-1.449689986
Lone_Elephant_Den_4,724824,9839786,serenas,35.02065684,-1.448596195
Lugga_Den_III,718592,9844639,happyzebra,34.96463051,-1.404765401
Lugga_Den_4,718622,9844671,happyzebra,34.9648998,-1.404475832
Buffalo_Den,719627,9837833,happyzebra,34.97398184,-1.466296356
Buffalo_Crossing,752924,9837404,happyzebra,35.27310754,-1.469888944
Saito's_Den_2,724929,9840470,serenas,35.02159469,-1.442410903
Mars_Den,723417,9840596,serenas,35.00800991,-1.44128376
Saito's_Den,725054,9840520,serenas,35.02271728,-1.441957819
Crunk_D4,718328,9849289,serenan,34.96222414,-1.362722481
Crunk_Den_8,718181,9849203,serenan,34.96090413,-1.363501169
Diagon_Alley_Den_II,717981,9849311,serenan,34.95910654,-1.362526112
Crunk_D3,718332,9849272,serenan,34.9622602,-1.362876164
Big_Sky_Den_2,725618,9841109,serenas,35.0277795,-1.436627807
Bird_Bath_Den,725337,9841541,serenas,35.02525159,-1.432724104
Lonely_Tube,725158,9841224,serenas,35.023646,-1.435591714
Changra_Den,718635,9849330,serenan,34.96498192,-1.362349499
Wild_Berry_Den,718776,9849282,serenan,34.96624901,-1.36278247
Judith_Den,718861,9849286,serenan,34.96701261,-1.362745675
The_Burrow_Den,719609,9848844,serenan,34.97373584,-1.366736643
Migration_Den_3,719817,9837650,happyzebra,34.97569031,-1.467949497
Migration_Den,719721,9937675,happyzebra,34.97427867,-0.56353669
Coincidence_Den_2,719576,9837606,happyzebra,34.97352544,-1.468349263
Coincidence_D,719522,9837495,happyzebra,34.97304117,-1.46935334
Migration_Den_4,719680,9837699,happyzebra,34.97445907,-1.467507541
Migration_Den_5,719569,9837708,happyzebra,34.97346174,-1.46742705
Grand_Theft_Auto_Den,717033,9844406,happyzebra,34.95062597,-1.406883995
Arson_Den,717309,9844189,happyzebra,34.95310724,-1.408844014
Bellagio_ND,726391,9840882,serenas,35.03472585,-1.438674016
Homicide_Den,717090,9844193,happyzebra,34.95113967,-1.408809505
FML_Den,725171,9841252,serenas,35.02376256,-1.435338446
Vandalism_Den,717253,9844123,happyzebra,34.95260463,-1.409441208
Rousseau_Den,725441,9840912,serenas,35.02619093,-1.438410415
Windsor_Den,716432,9842596,happyzebra,34.9452401,-1.42325457
Amazon_Den,719656,9838561,happyzebra,34.97423663,-1.459713659
