landmark_id,clan,Longitude,Latitude,
DOC_Den_2,talek,35.22618521,-1.473308596,
Disappointment_Den,happyzebra,34.99028212,-1.385954748,
Alumni_Den,happyzebra,34.96751155,-1.505118924,
Schiphol_Den,serenan,35.00819172,-1.402178373,
Grits_Den,serenan,35.0148214,-1.391168968,
Benedict_Den,serenan,35.01296089,-1.390139819,
Rocky_Point_Den,happyzebra,34.94307451,-1.422804306,
Bordello_Den,serenan,34.99059907,-1.378187599,
Flapjack_Den,serenan,35.0154672,-1.389947793,
Stanky_Watering_Hole,serenan,34.99373631,-1.380427312,
Mindy's_Den,serenan,34.99318081,-1.38222709,
DeGaulle_Den,serenan,35.0100869,-1.401688486,
Holy_Grail_Den,happyzebra,34.96911211,-1.445332545,
National_Cornchip_Day_Den,serenan,34.98129165,-1.378059784,
Lalalugga,serenan,35.01358778,-1.387806537,
Texarkana_Den,happyzebra,34.94470895,-1.421962013,
Ollivander's_Den,serenan,34.97027679,-1.36644112,
All_Hallows'_Eve_Den,serenan,34.9796353,-1.374055639,
Kruuk's_Culvert,serenan,35.01795491,-1.389005326,
The_Grotto,serenan,35.01064125,-1.387989894,
Lugga_Den_II,happyzebra,34.96508009,-1.405208074,
Wapi_Dave_Den,happyzebra,34.92853748,-1.378419842,
Lugga_Den,happyzebra,34.9651433,-1.405587781,
Runway_Den_3,serenan,35.00593988,-1.405833157,
Runway_Den,serenan,35.0047715,-1.405273582,
Airfield,serenan,35.01008044,-1.404645115,
Snowbird_Den,serenas,35.0235412,-1.439009526,
Dawn_Den,serenas,35.02360551,-1.44061887,
Dawn_Den_2,serenas,35.02462083,-1.440771669,
Foggy_Den,serenas,35.02185303,-1.439924234,
Armani_Den,happyzebra,34.93257922,-1.376987894,
Lilac_Breasted_Roller_Den,happyzebra,34.93104487,-1.379403385,
Foxy_Ditch_With_a_B,serenan,34.99989174,-1.4035237,
Oceanic_Den,serenas,35.02641457,-1.437325227,
Big_Sky_Den,serenas,35.02824649,-1.436428476,
Dudu_Den,serenas,35.02792436,-1.437893496,
Dudu_Den_2,serenas,35.02816661,-1.437531617,
Big_Bush_Communal_Den,serenas,35.22941485,-1.460006962,
Hanging_Gardens_Den,serenas,35.0202746,-1.432827985,
Library_of_Alexandria_Den,serenas,35.02122762,-1.433658966,
Jalapeno_Den,happyzebra,34.9617198,-1.40493966,
Super_Conspicuous_Bush,happyzebra,34.96417177,-1.40410573,
Challah_Den,happyzebra,34.95667897,-1.404066845,
Sleepy_Den,happyzebra,35.08176374,-1.437654846,
Nogales_Den,happyzebra,34.94375734,-1.422830854,
Innocent_Den,happyzebra,34.9577954,-1.406941244,
Hullabaloo_Den_2,happyzebra,34.94660859,-1.415956507,
Metropolitan_Tree,happyzebra,34.94391825,-1.421863221,
Tijuana_Den,happyzebra,34.94536587,-1.423236379,
Runway_Den_4,serenan,35.00580567,-1.406475233,
Twix_Den_2,serenas,35.03438042,-1.423900477,
Suzi_Den_III,serenas,35.03411162,-1.424714453,
Love_Shack_Mound,serenas,35.03482949,-1.423755414,
Biscuits_n'_Gravy_Den,serenan,35.00235448,-1.394280957,
Guava_Den,serenas,35.03045552,-1.42507032,
Muffin_Den,serenan,35.01311601,-1.392969721,
Boo_Tree,serenan,35.00112948,-1.390493528,
Unremarkable_Tree,serenan,35.00301771,-1.381739548,
IAT_Den,serenan,34.96246796,-1.364259408,
J_Fab_Den,serenan,34.96277361,-1.364503289,
The_Hatch_Den,serenas,35.04319013,-1.440357157,
Casino_X,serenas,35.04044759,-1.437583894,
Circe_Den,serenas,35.02106076,-1.438017164,
The_Staff_Den,serenas,35.04247291,-1.442030477,
Burning_Den,serenan,34.98892765,-1.388469508,
Superstar_Den,serenas,35.02093313,-1.446100466,
Lighthouse_Den,serenan,35.04205067,-1.442030859,
Superstar_Den_2,serenas,35.02035808,-1.446010566,
Def_Leppard_Crossing,serenas,35.04521537,-1.444704271,
Eyrie_Den,happyzebra,34.96769937,-1.411055961,
Eyrie_Den_2,happyzebra,34.96729533,-1.411345645,
Superstar_Den_3,serenas,35.02069027,-1.445766145,
Nchoko_Den,serenas,35.01998581,-1.451716151,
Nchoko_Den_2,serenas,35.01944707,-1.452051174,
Lone_Elephant_Den,serenas,35.02012831,-1.450314574,
Lone_Elephant_Den2,serenas,35.02111542,-1.449038822,
Lone_Elephant_Den_3,serenas,35.02092733,-1.449689986,
Lone_Elephant_Den_4,serenas,35.02065684,-1.448596195,
Lugga_Den_III,happyzebra,34.96463051,-1.404765401,
Lugga_Den_4,happyzebra,34.9648998,-1.404475832,
Buffalo_Den,happyzebra,34.97398184,-1.466296356,
Buffalo_Crossing,happyzebra,35.27310754,-1.469888944,
