session;landmark_id;id;date;year;month;day;clan;utme;utmn;category;dob;dengrad
97332.1;DOC_Den_2;hrtz;2016-11-20;2016;11;20;talek;747700;9837031;cd;2016-07-19;2017-05-09
97332.1;DOC_Den_2;nano;2016-11-20;2016;11;20;talek;747700;9837031;cd;2016-07-19;2017-04-15
97332.1;DOC_Den_2;ares;2016-11-20;2016;11;20;talek;747700;9837031;cd;2016-03-16;2016-12-15
s0.26;Disappointment_Den;mcrn;2008-06-27;2008;06;27;happyzebra;721449;9846717;cd;2008-02-15;2009-02-15
s0.26;Disappointment_Den;mfn;2008-06-27;2008;06;27;happyzebra;721449;9846717;cd;2008-02-15;2009-02-15
s0.26;Disappointment_Den;bliz;2008-06-27;2008;06;27;happyzebra;721449;9846717;cd;2008-02-01;2009-02-01
s0.41;Disappointment_Den;mfn;2008-06-29;2008;06;29;serenan;721449;9846717;cd;2008-02-15;2009-02-15
s0.41;Disappointment_Den;hndy;2008-06-29;2008;06;29;serenan;721449;9846717;cd;2008-01-01;2009-01-01
s0.41;Disappointment_Den;mcrn;2008-06-29;2008;06;29;serenan;721449;9846717;cd;2008-02-15;2009-02-15
s0.41;Disappointment_Den;mstl;2008-06-29;2008;06;29;serenan;721449;9846717;cd;2007-11-01;2008-08-01
s0.59;Alumni_Den;clyd;2008-07-06;2008;07;06;happyzebra;718903;9833540;cd;2008-01-01;2009-01-01
s0.59;Alumni_Den;bsby;2008-07-06;2008;07;06;happyzebra;718903;9833540;cd;2008-03-15;2009-03-15
s0.59;Alumni_Den;ptp;2008-07-06;2008;07;06;happyzebra;718903;9833540;cd;2008-02-01;2009-02-01
s0.59;Alumni_Den;glam;2008-07-06;2008;07;06;happyzebra;718903;9833540;cd;2007-11-15;2008-11-15
s10004;Schiphol_Den;slim;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10004;Schiphol_Den;spud;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10004;Schiphol_Den;jude;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10004;Schiphol_Den;mchl;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10005;Schiphol_Den;dalt;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10005;Schiphol_Den;slim;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10005;Schiphol_Den;jude;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10005;Schiphol_Den;spud;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10005;Schiphol_Den;mchl;2013-07-02;2013;07;02;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10010;Grits_Den;rama;2013-07-03;2013;07;03;serenan;724180;9846138;cd;2013-01-08;2013-09-29
s10016;Schiphol_Den;dalt;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10016;Schiphol_Den;spud;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10016;Schiphol_Den;jude;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10016;Schiphol_Den;mchl;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10017;Schiphol_Den;jude;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10017;Schiphol_Den;dalt;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10017;Schiphol_Den;mchl;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10017;Schiphol_Den;spud;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10017;Schiphol_Den;slim;2013-07-05;2013;07;05;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10027;Schiphol_Den;spud;2013-07-06;2013;07;06;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10027;Schiphol_Den;mchl;2013-07-06;2013;07;06;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10027;Schiphol_Den;jude;2013-07-06;2013;07;06;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10030;Grits_Den;dalt;2013-07-07;2013;07;07;serenan;724180;9846138;cd;2013-01-14;2013-07-27
s10030;Grits_Den;slim;2013-07-07;2013;07;07;serenan;724180;9846138;cd;2013-01-14;2014-01-14
s10030;Grits_Den;cstz;2013-07-07;2013;07;07;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10034;Schiphol_Den;jude;2013-07-08;2013;07;08;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10034;Schiphol_Den;mchl;2013-07-08;2013;07;08;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10034;Schiphol_Den;spud;2013-07-08;2013;07;08;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10037;Grits_Den;dalt;2013-07-08;2013;07;08;serenan;724180;9846138;cd;2013-01-14;2013-07-27
s10037;Grits_Den;cstz;2013-07-08;2013;07;08;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10037;Grits_Den;rama;2013-07-08;2013;07;08;serenan;724180;9846138;cd;2013-01-08;2013-09-29
s10037;Grits_Den;slim;2013-07-08;2013;07;08;serenan;724180;9846138;cd;2013-01-14;2014-01-14
s10038;Grits_Den;spud;2013-07-09;2013;07;09;serenan;724180;9846138;cd;2012-11-06;2013-11-06
s10038;Grits_Den;jude;2013-07-09;2013;07;09;serenan;724180;9846138;cd;2012-11-17;2013-09-12
s10038;Grits_Den;mchl;2013-07-09;2013;07;09;serenan;724180;9846138;cd;2012-11-17;2013-11-17
s10038;Grits_Den;rama;2013-07-09;2013;07;09;serenan;724180;9846138;cd;2013-01-08;2013-09-29
s10038;Grits_Den;cstz;2013-07-09;2013;07;09;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10040;Schiphol_Den;dalt;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10040;Schiphol_Den;slim;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10040;Schiphol_Den;spud;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10044;Schiphol_Den;rama;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2013-01-08;2013-09-29
s10044;Schiphol_Den;cstz;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2013-04-16;2014-04-16
s10044;Schiphol_Den;jude;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10044;Schiphol_Den;mchl;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10047;Schiphol_Den;spud;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10048;Schiphol_Den;spud;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10049;Schiphol_Den;spud;2013-07-10;2013;07;10;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10057;Grits_Den;mchl;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2012-11-17;2013-11-17
s10057;Grits_Den;jude;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2012-11-17;2013-09-12
s10058;Grits_Den;rama;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2013-01-08;2013-09-29
s10058;Grits_Den;cstz;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10059;Grits_Den;jude;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2012-11-17;2013-09-12
s10059;Grits_Den;mchl;2013-07-11;2013;07;11;serenan;724180;9846138;cd;2012-11-17;2013-11-17
s10060;Schiphol_Den;spud;2013-07-12;2013;07;12;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10061;Grits_Den;mchl;2013-07-13;2013;07;13;serenan;724180;9846138;cd;2012-11-17;2013-11-17
s10061;Grits_Den;cstz;2013-07-13;2013;07;13;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10061;Grits_Den;jude;2013-07-13;2013;07;13;serenan;724180;9846138;cd;2012-11-17;2013-09-12
s10064;Schiphol_Den;slim;2013-07-13;2013;07;13;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10064;Schiphol_Den;dalt;2013-07-13;2013;07;13;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10064;Schiphol_Den;spud;2013-07-13;2013;07;13;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10065;Schiphol_Den;spud;2013-07-13;2013;07;13;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10066;Schiphol_Den;slim;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10066;Schiphol_Den;mchl;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10066;Schiphol_Den;dalt;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10066;Schiphol_Den;spud;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s1007;Rocky_Point_Den;kata;2010-03-16;2010;03;16;happyzebra;716191;9842646;cd;2010-02-16;2010-11-23
s1007;Rocky_Point_Den;boom;2010-03-16;2010;03;16;happyzebra;716191;9842646;cd;2010-02-16;2010-11-26
s1007.1;Schiphol_Den;jude;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s1007.1;Schiphol_Den;mchl;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s1007.1;Schiphol_Den;dalt;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s1007.1;Schiphol_Den;spud;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s1007.1;Schiphol_Den;slim;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10070;Schiphol_Den;jude;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10070;Schiphol_Den;slim;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10070;Schiphol_Den;dalt;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10070;Schiphol_Den;mchl;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10070;Schiphol_Den;spud;2013-07-14;2013;07;14;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10071;Schiphol_Den;mchl;2013-07-15;2013;07;15;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10071;Schiphol_Den;jude;2013-07-15;2013;07;15;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10072;Grits_Den;cstz;2013-07-16;2013;07;16;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10072;Grits_Den;rama;2013-07-16;2013;07;16;serenan;724180;9846138;cd;2013-01-08;2013-09-29
s10075;Schiphol_Den;slim;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10076;Schiphol_Den;dalt;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10076;Schiphol_Den;spud;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10076;Schiphol_Den;jude;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10076;Schiphol_Den;slim;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10077;Schiphol_Den;dalt;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10077;Schiphol_Den;mchl;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10077;Schiphol_Den;slim;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10077;Schiphol_Den;jude;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10077;Schiphol_Den;spud;2013-07-16;2013;07;16;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10081;Schiphol_Den;jude;2013-07-17;2013;07;17;serenan;723441;9844921;cd;2012-11-17;2013-09-12
s10081;Schiphol_Den;mchl;2013-07-17;2013;07;17;serenan;723441;9844921;cd;2012-11-17;2013-11-17
s10081;Schiphol_Den;dalt;2013-07-17;2013;07;17;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10081;Schiphol_Den;spud;2013-07-17;2013;07;17;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10081;Schiphol_Den;slim;2013-07-17;2013;07;17;serenan;723441;9844921;cd;2013-01-14;2014-01-14
s10082;Schiphol_Den;spud;2013-07-18;2013;07;18;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10083;Schiphol_Den;dalt;2013-07-18;2013;07;18;serenan;723441;9844921;cd;2013-01-14;2013-07-27
s10085;Grits_Den;cstz;2013-07-19;2013;07;19;serenan;724180;9846138;cd;2013-04-16;2014-04-16
s10087.1;Bordello_Den;slim;2013-07-19;2013;07;19;serenan;721485;9847576;cd;2013-01-14;2014-01-14
s10087.1;Bordello_Den;rama;2013-07-19;2013;07;19;serenan;721485;9847576;cd;2013-01-08;2013-09-29
s10087.1;Bordello_Den;dalt;2013-07-19;2013;07;19;serenan;721485;9847576;cd;2013-01-14;2013-07-27
s1009;Rocky_Point_Den;ring;2010-03-17;2010;03;17;happyzebra;716191;9842646;cd;2009-11-30;2010-11-16
s1009;Rocky_Point_Den;boom;2010-03-17;2010;03;17;happyzebra;716191;9842646;cd;2010-02-16;2010-11-26
s1009;Rocky_Point_Den;ctop;2010-03-17;2010;03;17;happyzebra;716191;9842646;cd;2009-11-30;2010-11-30
s1009;Rocky_Point_Den;kata;2010-03-17;2010;03;17;happyzebra;716191;9842646;cd;2010-02-16;2010-11-23
s10090;Bordello_Den;dalt;2013-07-19;2013;07;19;serenan;721485;9847576;cd;2013-01-14;2013-07-27
s10106;Flapjack_Den;cstz;2013-07-21;2013;07;21;serenan;724252;9846273;cd;2013-04-16;2014-04-16
s10107;Schiphol_Den;spud;2013-07-21;2013;07;21;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10108;Bordello_Den;slim;2013-07-23;2013;07;23;serenan;721485;9847576;cd;2013-01-14;2014-01-14
s10108;Bordello_Den;dalt;2013-07-23;2013;07;23;serenan;721485;9847576;cd;2013-01-14;2013-07-27
s10108;Bordello_Den;spud;2013-07-23;2013;07;23;serenan;721485;9847576;cd;2012-11-06;2013-11-06
s10108;Bordello_Den;rama;2013-07-23;2013;07;23;serenan;721485;9847576;cd;2013-01-08;2013-09-29
s1011;Rocky_Point_Den;boom;2010-03-20;2010;03;20;happyzebra;716191;9842646;cd;2010-02-16;2010-11-26
s1011;Rocky_Point_Den;ctop;2010-03-20;2010;03;20;happyzebra;716191;9842646;cd;2009-11-30;2010-11-30
s1011;Rocky_Point_Den;ring;2010-03-20;2010;03;20;happyzebra;716191;9842646;cd;2009-11-30;2010-11-16
s1011;Rocky_Point_Den;kata;2010-03-20;2010;03;20;happyzebra;716191;9842646;cd;2010-02-16;2010-11-23
s10117;Bordello_Den;mchl;2013-07-24;2013;07;24;serenan;721485;9847576;cd;2012-11-17;2013-11-17
s10117;Bordello_Den;rama;2013-07-24;2013;07;24;serenan;721485;9847576;cd;2013-01-08;2013-09-29
s10117;Bordello_Den;jude;2013-07-24;2013;07;24;serenan;721485;9847576;cd;2012-11-17;2013-09-12
s10118;Mindy's_Den;cstz;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10119;Mindy's_Den;rama;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2013-01-08;2013-09-29
s10119;Mindy's_Den;mchl;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2012-11-17;2013-11-17
s10119;Mindy's_Den;cstz;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10119;Mindy's_Den;dalt;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2013-01-14;2013-07-27
s10119;Mindy's_Den;slim;2013-07-24;2013;07;24;serenan;721772;9847129;cd;2013-01-14;2014-01-14
s10120;Mindy's_Den;cstz;2013-07-25;2013;07;25;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10122;Mindy's_Den;cstz;2013-07-25;2013;07;25;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10122;Mindy's_Den;mchl;2013-07-25;2013;07;25;serenan;721772;9847129;cd;2012-11-17;2013-11-17
s10122;Mindy's_Den;jude;2013-07-25;2013;07;25;serenan;721772;9847129;cd;2012-11-17;2013-09-12
s10128;Mindy's_Den;cstz;2013-07-26;2013;07;26;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10130;Schiphol_Den;spud;2013-07-26;2013;07;26;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10131;Mindy's_Den;cstz;2013-07-26;2013;07;26;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10134;Mindy's_Den;cstz;2013-07-26;2013;07;26;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10134;Mindy's_Den;jude;2013-07-26;2013;07;26;serenan;721772;9847129;cd;2012-11-17;2013-09-12
s10134;Mindy's_Den;mchl;2013-07-26;2013;07;26;serenan;721772;9847129;cd;2012-11-17;2013-11-17
s10137;Mindy's_Den;mchl;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2012-11-17;2013-11-17
s10137;Mindy's_Den;cstz;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10137;Mindy's_Den;rama;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2013-01-08;2013-09-29
s10137;Mindy's_Den;dalt;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2013-01-14;2013-07-27
s10137;Mindy's_Den;jude;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2012-11-17;2013-09-12
s10137;Mindy's_Den;slim;2013-07-27;2013;07;27;serenan;721772;9847129;cd;2013-01-14;2014-01-14
s1014;Rocky_Point_Den;ctop;2010-03-25;2010;03;25;happyzebra;716191;9842646;cd;2009-11-30;2010-11-30
s1014;Rocky_Point_Den;ring;2010-03-25;2010;03;25;happyzebra;716191;9842646;cd;2009-11-30;2010-11-16
s10143;Schiphol_Den;spud;2013-07-29;2013;07;29;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10145;Schiphol_Den;spud;2013-07-29;2013;07;29;serenan;723441;9844921;cd;2012-11-06;2013-11-06
s10148;Mindy's_Den;cstz;2013-07-29;2013;07;29;serenan;721772;9847129;cd;2013-04-16;2014-04-16
s10152;Mindy's_Den;slim;2013-07-29;2013;07;29;serenan;721772;9847129;cd;2013-01-14;2014-01-14
