session;landmark_id;date;year;month;day;clan;utme;utmn;category
97332.1;DOC_Den_2;2016-11-20;2016;11;20;talek;747700;9837031;cd
s0.26;Disappointment_Den;2008-06-27;2008;06;27;happyzebra;721449;9846717;cd
s0.41;Disappointment_Den;2008-06-29;2008;06;29;serenan;721449;9846717;cd
s0.59;Alumni_Den;2008-07-06;2008;07;06;happyzebra;718903;9833540;cd
s10004;Schiphol_Den;2013-07-02;2013;07;02;serenan;723441;9844921;cd
s10005;Schiphol_Den;2013-07-02;2013;07;02;serenan;723441;9844921;cd
s10010;Grits_Den;2013-07-03;2013;07;03;serenan;724180;9846138;cd
s10016;Schiphol_Den;2013-07-05;2013;07;05;serenan;723441;9844921;cd
s10017;Schiphol_Den;2013-07-05;2013;07;05;serenan;723441;9844921;cd
s10027;Schiphol_Den;2013-07-06;2013;07;06;serenan;723441;9844921;cd
s10030;Grits_Den;2013-07-07;2013;07;07;serenan;724180;9846138;cd
s10034;Schiphol_Den;2013-07-08;2013;07;08;serenan;723441;9844921;cd
s10037;Grits_Den;2013-07-08;2013;07;08;serenan;724180;9846138;cd
s10038;Grits_Den;2013-07-09;2013;07;09;serenan;724180;9846138;cd
s10040;Schiphol_Den;2013-07-10;2013;07;10;serenan;723441;9844921;cd
s10044;Schiphol_Den;2013-07-10;2013;07;10;serenan;723441;9844921;cd
s10047;Schiphol_Den;2013-07-10;2013;07;10;serenan;723441;9844921;cd
s10048;Schiphol_Den;2013-07-10;2013;07;10;serenan;723441;9844921;cd
s10049;Schiphol_Den;2013-07-10;2013;07;10;serenan;723441;9844921;cd
s10057;Grits_Den;2013-07-11;2013;07;11;serenan;724180;9846138;cd
s10058;Grits_Den;2013-07-11;2013;07;11;serenan;724180;9846138;cd
s10059;Grits_Den;2013-07-11;2013;07;11;serenan;724180;9846138;cd
s10060;Schiphol_Den;2013-07-12;2013;07;12;serenan;723441;9844921;cd
s10061;Grits_Den;2013-07-13;2013;07;13;serenan;724180;9846138;cd
s10064;Schiphol_Den;2013-07-13;2013;07;13;serenan;723441;9844921;cd
s10065;Schiphol_Den;2013-07-13;2013;07;13;serenan;723441;9844921;cd
s10066;Schiphol_Den;2013-07-14;2013;07;14;serenan;723441;9844921;cd
s1007;Rocky_Point_Den;2010-03-16;2010;03;16;happyzebra;716191;9842646;cd
s1007.1;Schiphol_Den;2013-07-16;2013;07;16;serenan;723441;9844921;cd
