year;landmark_id;month;session;utme;utmn;clan
2016;DOC_Den_2;11;97332.1;747700;9837031;talek
2008;Disappointment_Den;06;s0.26;721449;9846717;happyzebra
2008;Alumni_Den;07;s0.59;718903;9833540;happyzebra
2013;Schiphol_Den;07;s10004;723441;9844921;serenan
2013;Grits_Den;07;s10010;724180;9846138;serenan
2013;Benedict_Den;07;s10030;723973;9846252;serenan
2010;Rocky_Point_Den;03;s1007;716191;9842646;happyzebra
2013;Bordello_Den;07;s10087.1;721485;9847576;serenan
2013;Flapjack_Den;07;s10106;724252;9846273;serenan
2013;Stanky_Watering_Hole;07;s10112;721834;9847328;serenan
2013;Mindy's_Den;07;s10118;721772;9847129;serenan
2013;DeGaulle_Den;07;s10166;723652;9844975;serenan
2013;Holy_Grail_Den;07;s10181;719087;9840152;happyzebra
2013;National_Cornchip_Day_Den;02;s10287;720449;9847591;serenan
2008;Holy_Grail_Den;08;s103;719087;9840152;happyzebra
2013;Lalalugga;06;s10711;724043;9846510;serenan
2010;Texarkana_Den;06;s1079;716373;9842739;happyzebra
2019;Ollivander's_Den;04;s108994;719224;9848877;serenan
2019;All_Hallows'_Eve_Den;04;s108995;720265;9848034;serenan
2019;DeGaulle_Den;04;s109013;723652;9844975;serenan
2013;Kruuk's_Culvert;08;s10916.3;724529;9846377;serenan
2013;The_Grotto;08;s10916.3;723715;9846490;serenan
2019;Lugga_Den_II;04;s109277;718642;9844590;happyzebra
2019;Wapi_Dave_Den;04;s109279;714577;9847556;happyzebra
2019;Lugga_Den;05;s109325;718649;9844548;happyzebra
2019;Runway_Den_3;08;s109447;723190;9844517;serenan
2019;Runway_Den;08;s109493;723060;9844579;serenan
2019;Airfield;09;s109541;723651;9844648;serenan
2019;Snowbird_Den;07;s109635;725146;9840846;serenas
2019;Dawn_Den;08;s109691;725153;9840668;serenas
2019;Dawn_Den_2;09;s109710;725266;9840651;serenas
2019;Foggy_Den;09;s109764;724958;9840745;serenas
2019;Armani_Den;09;s109934;715027;9847714;happyzebra
2019;Lilac_Breasted_Roller_Den;09;s109976;714856;9847447;happyzebra
2019;Foxy_Ditch_With_a_B;10;s110050;722517;9844773;serenan
2019;Oceanic_Den;10;s110184;725466;9841032;serenas
2019;Big_Sky_Den;10;s110197;725670;9841131;serenas
2019;Dudu_Den;10;s110224;725634;9840969;serenas
2019;Dudu_Den_2;10;s110242;725661;9841009;serenas
2019;Big_Bush_Communal_Den;11;s110272;748061;9838502;serenas
2019;Hanging_Gardens_Den;11;s110276;724783;9841530;serenas
2019;Library_of_Alexandria_Den;11;s110280;724889;9841438;serenas
2019;Jalapeno_Den;10;s110333;718268;9844620;happyzebra
2019;Super_Conspicuous_Bush;10;s110333;718541;9844712;happyzebra
2019;Challah_Den;10;s110363;717707;9844717;happyzebra
2019;Sleepy_Den;10;s110368;731627;9840990;happyzebra
2019;Nogales_Den;10;s110372;716267;9842643;happyzebra
2019;Innocent_Den;10;s110374;717831;9844399;happyzebra
2019;Hullabaloo_Den_2;10;s110398;716585;9843403;happyzebra
2019;Metropolitan_Tree;11;s110408;716285;9842750;happyzebra
2019;Tijuana_Den;11;s110464;716446;9842598;happyzebra
2020;Runway_Den;01;s110474;723060;9844579;serenan
2020;Runway_Den_4;02;s110587;723175;9844446;serenan
2020;Twix_Den_2;01;s110742;726354;9842516;serenas
2020;Suzi_Den_III;01;s110748;726324;9842426;serenas
2020;Love_Shack_Mound;01;s110755;726404;9842532;serenas
2013;Biscuits_n'_Gravy_Den;09;s11076;722792;9845795;serenan
2020;Guava_Den;03;s110963;725917;9842387;serenas
2020;Tijuana_Den;01;s110973;716446;9842598;happyzebra
2013;Muffin_Den;11;s11243;723990;9845939;serenan
2013;Boo_Tree;11;s11243;722656;9846214;serenan
2013;Unremarkable_Tree;11;s11243;722867;9847182;serenan
2013;IAT_Den;12;s11327;718355;9849119;serenan
2013;J_Fab_Den;12;s11374;718389;9849092;serenan
2013;The_Hatch_Den;01;s11408;727333;9840695;serenas
2013;Casino_X;01;s11438;727028;9841002;serenas
2021;Runway_Den;02;s114448;723060;9844579;serenan
2020;Runway_Den_3;08;s114463.1;723190;9844517;serenan
2021;Circe_Den;02;s114625;724870;9840956;serenas
2021;Hanging_Gardens_Den;03;s114678;724783;9841530;serenas
2013;The_Staff_Den;02;s11487;727253;9840510;serenas
2021;Burning_Den;04;s114906;721298;9846439;serenan
2021;Superstar_Den;05;s115145;724855;9840062;serenas
2013;Lighthouse_Den;02;s11515;727206;9840510;serenan
2021;Superstar_Den_2;05;s115169;724791;9840072;serenas
2013;Def_Leppard_Crossing;02;s11535;727558;9840214;serenas
2021;Eyrie_Den;06;s115413;718933;9843943;happyzebra
2021;Eyrie_Den_2;06;s115419;718888;9843911;happyzebra
2021;Superstar_Den_3;08;s115488;724828;9840099;serenas
2021;Nchoko_Den;10;s115549;724749;9839441;serenas
2021;Nchoko_Den_2;10;s115559;724689;9839404;serenas
2021;Lone_Elephant_Den;12;s115597;724765;9839596;serenas
2021;Lone_Elephant_Den2;12;s115605;724875;9839737;serenas
2022;Lone_Elephant_Den2;01;s115612;724875;9839737;serenas
2022;Lone_Elephant_Den_3;01;s115617;724854;9839665;serenas
2022;Lone_Elephant_Den_4;03;s115646;724824;9839786;serenas
2022;Dawn_Den;05;s115680.1;725153;9840668;serenas
2022;Dawn_Den_2;07;s115771;725266;9840651;serenas
2022;Lone_Elephant_Den;08;s115804;724765;9839596;serenas
2022;Superstar_Den_2;09;s115842;724791;9840072;serenas
2022;Lugga_Den_III;04;s115893;718592;9844639;happyzebra
2022;Lugga_Den_II;04;s115898;718642;9844590;happyzebra
2022;Lugga_Den_4;04;s115898;718622;9844671;happyzebra
2022;Lugga_Den;05;s115904;718649;9844548;happyzebra
2022;Buffalo_Den;06;s115920;719627;9837833;happyzebra
2022;Buffalo_Crossing;06;s115925;752924;9837404;happyzebra
2022;Saito's_Den_2;10;S115955;724929;9840470;serenas
2022;Mars_Den;10;S116000;723417;9840596;serenas
2022;Saito's_Den;10;S116002;725054;9840520;serenas
2022;Crunk_D4;10;S116263;718328;9849289;serenan
2022;Crunk_Den_8;10;S116263;718181;9849203;serenan
2022;J_Fab_Den;10;S116273;718389;9849092;serenan
2022;Diagon_Alley_Den_II;11;S116301;717981;9849311;serenan
2022;Crunk_D3;12;S116328;718332;9849272;serenan
2022;Wapi_Dave_Den;10;S116352;714577;9847556;happyzebra
2023;Big_Sky_Den_2;01;s116506;725618;9841109;serenas
2023;Dudu_Den;01;s116540;725634;9840969;serenas
2023;Big_Sky_Den;01;s116713.1;725670;9841131;serenas
2023;Big_Bush_Communal_Den;01;s116798;748061;9838502;serenas
2023;Bird_Bath_Den;02;s116940;725337;9841541;serenas
2023;Lonely_Tube;03;s116978;725158;9841224;serenas
2023;Crunk_D4;01;s117074;718328;9849289;serenan
2023;Changra_Den;01;s117075;718635;9849330;serenan
2023;Wild_Berry_Den;01;s117099;718776;9849282;serenan
2023;Judith_Den;01;s117124;718861;9849286;serenan
2023;Ollivander's_Den;02;s117167;719224;9848877;serenan
2023;The_Burrow_Den;03;s117271;719609;9848844;serenan
2023;Migration_Den_3;01;s117299;719817;9837650;happyzebra
2023;Migration_Den;01;s117317;719721;9937675;happyzebra
2023;Coincidence_Den_2;01;s117339.1;719576;9837606;happyzebra
2023;Coincidence_D;01;s117340;719522;9837495;happyzebra
2023;Migration_Den_4;02;s117374;719680;9837699;happyzebra
2023;Migration_Den_5;02;s117374;719569;9837708;happyzebra
2010;Grand_Theft_Auto_Den;09;s1174;717033;9844406;happyzebra
2010;Arson_Den;09;s1183;717309;9844189;happyzebra
2013;Bellagio_ND;09;s11911;726391;9840882;serenas
2010;Homicide_Den;10;s1198;717090;9844193;happyzebra
2013;FML_Den;11;s11985;725171;9841252;serenas
2010;Vandalism_Den;10;s1200;717253;9844123;happyzebra
2013;Rousseau_Den;12;s12140;725441;9840912;serenas
2013;Windsor_Den;01;s12154;716432;9842596;happyzebra
2013;Amazon_Den;03;s12211;719656;9838561;happyzebra
2010;Larceny_Den;10;s1222;717242;9843722;happyzebra
2013;Gettysburg_Den;07;s12381;719322;9840190;happyzebra
2013;LBJ_X;07;s12391;720116;9840087;happyzebra
2013;Schmuzty_Den;07;s12403;720201;9839904;happyzebra
2013;Schmuck_Den;08;s12433;720374;9839933;happyzebra
2013;Oy_Vey_Den;08;s12464;721091;9840261;happyzebra
2013;Mashugana_Den;09;s12477;721208;9840487;happyzebra
2013;Mashugana_Den_II;09;s12479;721189;9840596;happyzebra
2013;Bubula_Den;10;s12493;720534;9840559;happyzebra
2010;Gila_River_Den_II;11;s1251;716426;9843696;happyzebra
2010;Gila_River_Den;12;s1270;716307;9843668;happyzebra
2010;Gila_River_Den_III;12;s1278;716452;9843748;happyzebra
2014;Tigris_Den;03;s12794;719693;9838330;happyzebra
2014;Serena_Maji_Fisi;09;s13048;719330;9838487;happyzebra
2014;Inselberg_View;09;s13048;717041;9838432;happyzebra
2014;Goliath_Heron_Den;09;s13048;717110;9838860;happyzebra
2014;Cannibal_Cami_Den;09;s13059.1;718608;9836934;happyzebra
2014;Whooping_Cami_Den;10;s13069;718655;9836894;happyzebra
2008;Airstrip_Den;07;s1325;723463;9844931;serenan
2014;Schiphol_Den;02;s13301;723441;9844921;serenan
2008;Redemption_Den;07;s1337;722500;9844773;serenan
2008;Holy_Grail_Den_II;09;s134;718859;9840103;happyzebra
2014;Lalalugga;03;s13482;724043;9846510;serenan
2014;Kruuk's_Culvert;03;s13482;724529;9846377;serenan
2014;Magic_Marsh;03;s13482;724859;9846540;serenan
2014;DeGaulle_Den;03;s13557.1;723652;9844975;serenan
2014;Uji_Den;05;s13802;723067;9846159;serenan
2014;Best_Friends_Forever_Water_Hole;06;s13994;723988;9845795;serenan
2008;Runway_Den;08;s1407;723060;9844579;serenan
2008;Runway_Den_II;08;s1408;723179;9844719;serenan
2014;IAT_Den;08;s14247;718355;9849119;serenan
2008;Wanderlust_Den;08;s1426;722573;9844992;serenan
2014;Maji_ya_Ndege;09;s14294;720930;9849994;serenan
2014;Twin_Culverts;09;s14311;716967;9849024;serenan
2014;Crunk_Den;09;s14311;718375;9849268;serenan
2014;J_Fab_Den;09;s14325;718389;9849092;serenan
2014;Two_Term_Tree;11;s14414;719196;9848470;serenan
2008;Rainy_Day_D;08;s1450;722647;9844903;serenan
2014;Rousseau_Den;01;s14544;725441;9840912;serenas
2008;Bakery_Den;08;s1455;722709;9844770;serenan
2014;Lonely_Tube;01;s14595;725158;9841224;serenas
2014;Boone_Den;02;s14640;725499;9840852;serenas
2014;Claire_Den;04;s14760;725383;9840846;serenas
2014;Mr._Eko_Den;04;s14828;725291;9840944;serenas
2014;FML_Den;05;s14844;725171;9841252;serenas
2014;The_Abyss;05;s14901;725061;9842224;serenas
2014;Temple_of_Artemis_Den;06;s14913;724900;9841254;serenas
2014;Zeus_Den;06;s14928;724943;9841096;serenas
2014;Polar_Bear_Den;07;s15008;725352;9840838;serenas
2014;Oceanic_Den;08;s15054;725466;9841032;serenas
2014;Jackson's_Hole_Den;09;s15101.4;725657;9841081;serenas
2014;Dudu_Den;09;s15103;725634;9840969;serenas
2014;Big_Sky_Den;09;s15104;725670;9841131;serenas
2014;Summit_Den;10;s15117;726881;9841004;serenas
2014;Airfield;12;s15296;723651;9844648;serenas
2015;Oceanic_Den;01;s15300;725466;9841032;serenas
2015;Island_Den;01;s15364;725384;9840990;serenas
2015;Lost_Den;01;s15364;725277;9841016;serenas
2015;Pyramid_of_Giza;01;s15365;724698;9841306;serenas
2015;Sawyer_Den;01;s15377;725256;9840952;serenas
2015;Colossus_of_Rhodes_Den;02;s15399;725114;9841436;serenas
2015;Lonely_Tube;02;s15400;725158;9841224;serenas
2015;Library_of_Alexandria_Den;02;s15443;724889;9841438;serenas
2015;Hanging_Gardens_Den;03;s15506;724783;9841530;serenas
2015;Defenestrate_Den;03;s15537;725405;9841812;serenas
2015;Cripple_Tree;03;s15567;727202;9842261;serenas
2015;IAT_Den;01;s15596;718355;9849119;serenan
2008;Pride_Rock;09;s156;718416;9839082;happyzebra
2015;J_Fab_Den;02;s15723;718389;9849092;serenan
2015;Reach_Out_and_Touch_Mound;03;s15991;718766;9849195;serenan
2015;Whooping_Cami_Den;01;s16011;718655;9836894;happyzebra
2015;Baobab_Tree;01;s16018;718077;9837971;happyzebra
2015;Whoopi_Tree;01;s16024;713256;9842517;happyzebra
2015;Summit_Den;01;s16031;726881;9841004;happyzebra
2015;Murram_Pit_Three;01;s16062;718800;9836563;happyzebra
2015;Fisi_Mingi_Luga;01;s16069;719201;9836421;happyzebra
2015;BobLobLog;01;s16087.3;718774;9837487;happyzebra
2015;Sausage_Tree;02;s16152;721907;9836461;happyzebra
2015;Euphrates_Den;03;s16256;719599;9838284;happyzebra
2015;Tigris_Den;03;s16324;719693;9838330;happyzebra
2015;Cannibal_Cami_Den;04;s16334;718608;9836934;happyzebra
2015;Oodelali_Den;04;s16393;718352;9849222;serenan
2015;Sneaky_Rock;04;s16688;725623;9841853;serenas
2015;Guava_Den;04;s16724;725917;9842387;serenas
2015;Moat_Den;04;s16726;724573;9842044;serenas
2015;Portcullis_Den;05;s16747;724448;9842095;serenas
2015;Monolith;05;s16778;726441;9842206;serenas
2015;Moonset_Den;07;s16870;720892;9838075;happyzebra
2008;Airfield;11;s1693;723651;9844648;serenan
2015;Nogales_Den;09;s16954;716267;9842643;happyzebra
2015;Albatross_Den;08;s17089;718494;9849303;serenan
2015;Mango_Den;07;s17296;726226;9842324;serenas
2015;Kit_Kat_Den;12;s17658;726433;9842488;serenas
2015;Twix_Den;12;s17707;726356;9842540;serenas
2015;Meatloaf_Den;10;s17773;715241;9843545;happyzebra
2015;Windsor_Den;10;s17775;716432;9842596;happyzebra
2009;DeGaulle_Den_II;01;s1778;723670;9844868;serenan
2009;DeGaulle_Den;02;s1779;723652;9844975;serenan
2015;Blowin'_in_the_Wind_Tree;10;s17792.1;721116;9845013;happyzebra
2015;Rocky_Spot;10;s17809;731691;9832225;happyzebra
2016;Twix_Den;01;s18137;726356;9842540;serenas
2016;Cripple_Tree;02;s18290;727202;9842261;serenas
2016;Kit_Kat_Den;02;s18356;726433;9842488;serenas
2016;Monolith;03;s18415;726441;9842206;serenas
2016;IAT_Den;01;s18545;718355;9849119;serenan
2016;J_Fab_Den;01;s18588;718389;9849092;serenan
2016;Houdini_Den;02;s18943;716763;9843937;happyzebra
2008;Coincidence_D;10;s190;719522;9837495;happyzebra
2009;Runway_Den;04;s1914;723060;9844579;serenan
2016;Black_Bellied_Bustard_Bird_Junction;06;s19146;717929;9843588;happyzebra
2016;Sneaky_Hole;04;s19200;717935;9849965;serenan
2016;Oodelali_Den;04;s19200;718352;9849222;serenan
2016;Ollivander's_Den;06;s19480;719224;9848877;serenan
2009;Airfield;04;s1965;723651;9844648;serenan
2016;Colossus_of_Rhodes_Den;07;s19884;725114;9841436;serenas
2016;FML_Den;07;s19898.1;725171;9841252;serenas
2016;Ilvermorny_Den;08;s20027;719409;9848777;serenan
2016;Two_Term_Tree;09;s20149;719196;9848470;serenan
2016;Portkey_Junction;09;s20149;719362;9848345;serenan
2016;Kabbalah_Den;09;s20184;718423;9849180;serenan
2016;Reach_Out_and_Touch_Mound;09;s20184;718766;9849195;serenan
2016;Portcullis_Den;12;s20198.1;724448;9842095;serenas
2016;Moat_Den;08;s20228;724573;9842044;serenas
2016;Bastion_Den;08;s20262.1;724676;9842170;serenas
2016;Turret_Den;09;s20305;724950;9842127;serenas
2016;Granualie_Gen;07;s20351;721416;9841468;happyzebra
2016;ARBA_Natal_Den;07;s20352;721527;9841357;happyzebra
2016;Cacophony_Den;07;s20378.1;716718;9843752;happyzebra
2016;Hullabaloo_Den;08;s20415;716721;9843423;happyzebra
