"";"session";"landmark_id";"clan";"utme";"utmn";"category"
"1";"97332.1";"DOC_Den_2";"talek";"747700";"9837031";"cd"
"2";"s0.26";"Disappointment_Den";"happyzebra";"721449";"9846717";"cd"
"3";"s0.59";"Alumni_Den";"happyzebra";"718903";"9833540";"cd"
"4";"s10004";"Schiphol_Den";"serenan";"723441";"9844921";"cd"
"5";"s10010";"Grits_Den";"serenan";"724180";"9846138";"cd"
"6";"s1007";"Rocky_Point_Den";"happyzebra";"716191";"9842646";"cd"
"7";"s10087.1";"Bordello_Den";"serenan";"721485";"9847576";"cd"
"8";"s10106";"Flapjack_Den";"serenan";"724252";"9846273";"cd"
"9";"s10118";"Mindy's_Den";"serenan";"721772";"9847129";"cd"
"10";"s10166";"DeGaulle_Den";"serenan";"723652";"9844975";"cd"
"11";"s10181";"Holy_Grail_Den";"happyzebra";"719087";"9840152";"cd"
"12";"s10287";"National_Cornchip_Day_Den";"serenan";"720449";"9847591";"cd"
"13";"s1079";"Texarkana_Den";"happyzebra";"716373";"9842739";"cd"
"14";"s108994";"Ollivander's_Den";"serenan";"719224";"9848877";"cd"
"15";"s108995";"All_Hallows'_Eve_Den";"serenan";"720265";"9848034";"cd"
"16";"s109277";"Lugga_Den_II";"happyzebra";"718642";"9844590";"cd"
"17";"s109279";"Wapi_Dave_Den";"happyzebra";"714577";"9847556";"cd"
"18";"s109325";"Lugga_Den";"happyzebra";"718649";"9844548";"cd"
"19";"s109447";"Runway_Den_3";"serenan";"723190";"9844517";"cd"
"20";"s109493";"Runway_Den";"serenan";"723060";"9844579";"cd"
"21";"s109635";"Snowbird_Den";"serenas";"725146";"9840846";"cd"
"22";"s109691";"Dawn_Den";"serenas";"725153";"9840668";"cd"
"23";"s109738";"Dawn_Den_2";"serenas";"725266";"9840651";"cd"
"24";"s109764";"Foggy_Den";"serenas";"724958";"9840745";"cd"
"25";"s109934";"Armani_Den";"happyzebra";"715027";"9847714";"cd"
"26";"s109976";"Lilac_Breasted_Roller_Den";"happyzebra";"714856";"9847447";"cd"
"27";"s110184";"Oceanic_Den";"serenas";"725466";"9841032";"cd"
"28";"s110197";"Big_Sky_Den";"serenas";"725670";"9841131";"cd"
"29";"s11022";"Cinnabon_Den";"serenan";"724027";"9845768";"cd"
"30";"s110225";"Dudu_Den";"serenas";"725634";"9840969";"cd"
"31";"s110272";"Big_Bush_Communal_Den";"serenas";"748061";"9838502";"d"
"32";"s110276";"Hanging_Gardens_Den";"serenas";"724783";"9841530";"cd"
"33";"s110333";"Jalapeno_Den";"happyzebra";"718268";"9844620";"cd"
"34";"s110363";"Challah_Den";"happyzebra";"717707";"9844717";"cd"
"35";"s110368";"Sleepy_Den";"happyzebra";"731627";"9840990";"cd"
"36";"s110372";"Nogales_Den";"happyzebra";"716267";"9842643";"cd"
"37";"s110374";"Innocent_Den";"happyzebra";"717831";"9844399";"cd"
"38";"s110398";"Hullabaloo_Den_2";"happyzebra";"716585";"9843403";"cd"
"39";"s110464";"Tijuana_Den";"happyzebra";"716446";"9842598";"cd"
"40";"s110742";"Twix_Den_2";"serenas";"726354";"9842516";"cd"
"41";"s11076";"Biscuits_n'_Gravy_Den";"serenan";"722792";"9845795";"cd"
"42";"s110763";"Suzi_Den_III";"serenas";"726324";"9842426";"cd"
"43";"s110963";"Guava_Den";"serenas";"725917";"9842387";"cd"
"44";"s11327";"IAT_Den";"serenan";"718355";"9849119";"cd"
"45";"s11374";"J_Fab_Den";"serenan";"718389";"9849092";"cd"
"46";"s11408";"The_Hatch_Den";"serenas";"727333";"9840695";"cd"
"47";"s114625";"Circe_Den";"serenas";"724870";"9840956";"d"
"48";"s11487";"The_Staff_Den";"serenas";"727253";"9840510";"cd"
"49";"s114906";"Burning_Den";"serenan";"721298";"9846439";"cd"
"50";"s115145";"Superstar_Den";"serenas";"724855";"9840062";"cd"
"51";"s11515";"Lighthouse_Den";"serenan";"727206";"9840510";"cd"
"52";"s115169";"Superstar_Den_2";"serenas";"724791";"9840072";"cd"
"53";"s115413";"Eyrie_Den";"happyzebra";"718933";"9843943";"cd"
"54";"s115421";"Eyrie_Den_2";"happyzebra";"718888";"9843911";"cd"
"55";"s115488";"Superstar_Den_3";"serenas";"724828";"9840099";"cd"
"56";"s115549";"Nchoko_Den";"serenas";"724749";"9839441";"cd"
"57";"s115559";"Nchoko_Den_2";"serenas";"724689";"9839404";"cd"
"58";"s115597";"Lone_Elephant_Den";"serenas";"724765";"9839596";"cd"
"59";"s115607";"Lone_Elephant_Den2";"serenas";"724875";"9839737";"cd"
"60";"s115617";"Lone_Elephant_Den_3";"serenas";"724854";"9839665";"d"
"61";"s115646";"Lone_Elephant_Den_4";"serenas";"724824";"9839786";"d"
"62";"s115893";"Lugga_Den_III";"happyzebra";"718592";"9844639";"cd"
"63";"s115920";"Buffalo_Den";"happyzebra";"719627";"9837833";"d"
"64";"s115931";"Lugga_Den_4";"happyzebra";"718622";"9844671";"d"
"65";"S115955";"Saito's_Den_2";"serenas";"724929";"9840470";"cd"
"66";"S116000";"Mars_Den";"serenas";"723417";"9840596";"d"
"67";"S116002";"Saito's_Den";"serenas";"725054";"9840520";"cd"
"68";"S116200";"Scenic_Den";"serenas";"722522";"9841425";"cd"
"69";"S116267";"Crunk_Den_8";"serenan";"718181";"9849203";"cd"
"70";"S116301";"Diagon_Alley_Den_II";"serenan";"717981";"9849311";"cd"
"71";"s116506";"Big_Sky_Den_2";"serenas";"725618";"9841109";"cd"
"72";"s116551";"South_Den";"serenas";"724375";"9842053";"cd"
"73";"s116940";"Bird_Bath_Den";"serenas";"725337";"9841541";"cd"
"74";"s117075";"Changra_Den";"serenan";"718635";"9849330";"cd"
"75";"s117099";"Wild_Berry_Den";"serenan";"718776";"9849282";"cd"
"76";"s117123";"Changra_Den_2";"serenan";"718673";"9849323";"cd"
"77";"s117124";"Judith_Den";"serenan";"718861";"9849286";"cd"
"78";"s117284";"The_Burrow_Den";"serenan";"719609";"9848844";"cd"
"79";"s117299";"Migration_Den_3";"happyzebra";"719817";"9837650";"cd"
"80";"s117303";"Migration_Den_2";"happyzebra";"719675";"9837753";"cd"
"81";"s117317";"Migration_Den";"happyzebra";"719721";"9937675";"cd"
"82";"s117343";"Coincidence_D";"happyzebra";"719522";"9837495";"cd"
"83";"s117347";"Coincidence_Den_2";"happyzebra";"719576";"9837606";"cd"
"84";"s117374";"Migration_Den_4";"happyzebra";"719680";"9837699";"cd"
"85";"s1174";"Grand_Theft_Auto_Den";"happyzebra";"717033";"9844406";"cd"
"86";"s1183";"Arson_Den";"happyzebra";"717309";"9844189";"cd"
"87";"s1184";"Homicide_Den";"happyzebra";"717090";"9844193";"cd"
"88";"s11933";"FML_Den";"serenas";"725171";"9841252";"cd"
