session;landmark_id;date;year;month;clan;utme;utmn;category
97332.1;DOC_Den_2;2016-11-20;2016;11;talek;747700;9837031;cd
s0.26;Disappointment_Den;2008-06-27;2008;06;happyzebra;721449;9846717;cd
s0.59;Alumni_Den;2008-07-06;2008;07;happyzebra;718903;9833540;cd
s10004;Schiphol_Den;2013-07-02;2013;07;serenan;723441;9844921;cd
s10010;Grits_Den;2013-07-03;2013;07;serenan;724180;9846138;cd
s1007;Rocky_Point_Den;2010-03-16;2010;03;happyzebra;716191;9842646;cd
s10087.1;Bordello_Den;2013-07-19;2013;07;serenan;721485;9847576;cd
s10106;Flapjack_Den;2013-07-21;2013;07;serenan;724252;9846273;cd
s10118;Mindy's_Den;2013-07-24;2013;07;serenan;721772;9847129;cd
s10166;DeGaulle_Den;2013-07-31;2013;07;serenan;723652;9844975;cd
s10181;Holy_Grail_Den;2013-07-31;2013;07;happyzebra;719087;9840152;cd
s1021;Rocky_Point_Den;2010-04-08;2010;04;happyzebra;716191;9842646;cd
s10287;National_Cornchip_Day_Den;2013-02-13;2013;02;serenan;720449;9847591;cd
s10291.1;Schiphol_Den;2013-02-15;2013;02;serenan;723441;9844921;cd
s103;Holy_Grail_Den;2008-08-20;2008;08;happyzebra;719087;9840152;cd
s10358;National_Cornchip_Day_Den;2013-03-02;2013;03;serenan;720449;9847591;cd
s10381;Schiphol_Den;2013-03-07;2013;03;serenan;723441;9844921;cd
s10475;Schiphol_Den;2013-04-02;2013;04;serenan;723441;9844921;cd
s10484;DeGaulle_Den;2013-04-09;2013;04;serenan;723652;9844975;cd
s10536;Schiphol_Den;2013-05-03;2013;05;serenan;723441;9844921;cd
s1059;Rocky_Point_Den;2010-05-08;2010;05;happyzebra;716191;9842646;cd
s10640;Grits_Den;2013-05-25;2013;05;serenan;724180;9846138;cd
s10661;Flapjack_Den;2013-05-30;2013;05;serenan;724252;9846273;cd
s10663;Grits_Den;2013-06-02;2013;06;serenan;724180;9846138;cd
s10670;Flapjack_Den;2013-06-03;2013;06;serenan;724252;9846273;cd
s10701;DeGaulle_Den;2013-06-11;2013;06;serenan;723652;9844975;cd
s1077;Rocky_Point_Den;2010-06-03;2010;06;happyzebra;716191;9842646;cd
s1079;Texarkana_Den;2010-06-04;2010;06;happyzebra;716373;9842739;cd
s10868.1;DeGaulle_Den;2013-08-01;2013;08;serenan;723652;9844975;cd
s10869;Schiphol_Den;2013-08-01;2013;08;serenan;723441;9844921;cd
s10872;Mindy's_Den;2013-08-01;2013;08;serenan;721772;9847129;cd
s108994;Ollivander's_Den;2019-04-06;2019;04;serenan;719224;9848877;cd
s108995;All_Hallows'_Eve_Den;2019-04-06;2019;04;serenan;720265;9848034;cd
s109013;DeGaulle_Den;2019-04-15;2019;04;serenan;723652;9844975;cd
s109052;All_Hallows'_Eve_Den;2019-05-03;2019;05;serenan;720265;9848034;cd
s109075;DeGaulle_Den;2019-05-08;2019;05;serenan;723652;9844975;cd
s109132;DeGaulle_Den;2019-06-01;2019;06;serenan;723652;9844975;cd
s109277;Lugga_Den_II;2019-04-02;2019;04;happyzebra;718642;9844590;cd
s109279;Wapi_Dave_Den;2019-04-05;2019;04;happyzebra;714577;9847556;cd
s109315;Lugga_Den_II;2019-05-01;2019;05;happyzebra;718642;9844590;cd
s109320;Wapi_Dave_Den;2019-05-05;2019;05;happyzebra;714577;9847556;cd
s109325;Lugga_Den;2019-05-08;2019;05;happyzebra;718649;9844548;cd
s109351;Lugga_Den_II;2019-06-01;2019;06;happyzebra;718642;9844590;cd
s109354;Wapi_Dave_Den;2019-06-03;2019;06;happyzebra;714577;9847556;cd
s109394;DeGaulle_Den;2019-07-01;2019;07;serenan;723652;9844975;cd
s109440;DeGaulle_Den;2019-08-01;2019;08;serenan;723652;9844975;cd
s109447;Runway_Den_3;2019-08-02;2019;08;serenan;723190;9844517;cd
s109493;Runway_Den;2019-08-16;2019;08;serenan;723060;9844579;cd
s109534;Runway_Den;2019-09-02;2019;09;serenan;723060;9844579;cd
s109635;Snowbird_Den;2019-07-24;2019;07;serenas;725146;9840846;cd
s109649;Snowbird_Den;2019-08-02;2019;08;serenas;725146;9840846;cd
s109691;Dawn_Den;2019-08-23;2019;08;serenas;725153;9840668;cd
s109710;Dawn_Den;2019-09-01;2019;09;serenas;725153;9840668;cd
s109738;Dawn_Den_2;2019-09-11;2019;09;serenas;725266;9840651;cd
s109764;Foggy_Den;2019-09-22;2019;09;serenas;724958;9840745;cd
s109798;Lugga_Den_II;2019-07-01;2019;07;happyzebra;718642;9844590;cd
s109804;Wapi_Dave_Den;2019-07-04;2019;07;happyzebra;714577;9847556;cd
s109839;Lugga_Den;2019-07-28;2019;07;happyzebra;718649;9844548;cd
s109847;Lugga_Den_II;2019-08-01;2019;08;happyzebra;718642;9844590;cd
s109854;Wapi_Dave_Den;2019-08-04;2019;08;happyzebra;714577;9847556;cd
s10990;DeGaulle_Den;2013-09-01;2013;09;serenan;723652;9844975;cd
s109904;Lugga_Den_II;2019-09-01;2019;09;happyzebra;718642;9844590;cd
s109910;Wapi_Dave_Den;2019-09-03;2019;09;happyzebra;714577;9847556;cd
s109934;Armani_Den;2019-09-10;2019;09;happyzebra;715027;9847714;cd
s109976;Lilac_Breasted_Roller_Den;2019-09-28;2019;09;happyzebra;714856;9847447;cd
s109988;Runway_Den;2019-10-01;2019;10;serenan;723060;9844579;cd
s110086;Runway_Den;2019-11-02;2019;11;serenan;723060;9844579;cd
s110147;Runway_Den;2019-12-01;2019;12;serenan;723060;9844579;cd
s110170;DeGaulle_Den;2019-12-24;2019;12;serenan;723652;9844975;cd
s110184;Oceanic_Den;2019-10-03;2019;10;serenas;725466;9841032;cd
s110197;Big_Sky_Den;2019-10-12;2019;10;serenas;725670;9841131;cd
s11022;Cinnabon_Den;2013-09-10;2013;09;serenan;724027;9845768;cd
s110225;Dudu_Den;2019-10-23;2019;10;serenas;725634;9840969;cd
s110253;Big_Sky_Den;2019-11-04;2019;11;serenas;725670;9841131;cd
s110272;Big_Bush_Communal_Den;2019-11-07;2019;11;serenas;748061;9838502;d
s110276;Hanging_Gardens_Den;2019-11-09;2019;11;serenas;724783;9841530;cd
s110331;Hanging_Gardens_Den;2019-12-16;2019;12;serenas;724783;9841530;cd
s110333;Jalapeno_Den;2019-10-01;2019;10;happyzebra;718268;9844620;cd
s110339;Lilac_Breasted_Roller_Den;2019-10-04;2019;10;happyzebra;714856;9847447;cd
s110363;Challah_Den;2019-10-16;2019;10;happyzebra;717707;9844717;cd
s110368;Sleepy_Den;2019-10-18;2019;10;happyzebra;731627;9840990;cd
s110372;Nogales_Den;2019-10-21;2019;10;happyzebra;716267;9842643;cd
s110374;Innocent_Den;2019-10-21;2019;10;happyzebra;717831;9844399;cd
s110398;Hullabaloo_Den_2;2019-10-28;2019;10;happyzebra;716585;9843403;cd
s110405;Nogales_Den;2019-11-01;2019;11;happyzebra;716267;9842643;cd
s110413;Sleepy_Den;2019-11-05;2019;11;happyzebra;731627;9840990;cd
s110464;Tijuana_Den;2019-11-30;2019;11;happyzebra;716446;9842598;cd
s110466;Tijuana_Den;2019-12-07;2019;12;happyzebra;716446;9842598;cd
s110474;Runway_Den;2020-01-03;2020;01;serenan;723060;9844579;cd
s110573.1;Runway_Den;2020-02-02;2020;02;serenan;723060;9844579;cd
s110688;Runway_Den;2020-03-02;2020;03;serenan;723060;9844579;cd
s110742;Twix_Den_2;2020-01-02;2020;01;serenas;726354;9842516;cd
s11076;Biscuits_n'_Gravy_Den;2013-09-30;2013;09;serenan;722792;9845795;cd
s110763;Suzi_Den_III;2020-01-08;2020;01;serenas;726324;9842426;cd
s11085;Biscuits_n'_Gravy_Den;2013-10-02;2013;10;serenan;722792;9845795;cd
s110861;Suzi_Den_III;2020-02-17;2020;02;serenas;726324;9842426;cd
s110866;Twix_Den_2;2020-02-19;2020;02;serenas;726354;9842516;cd
s110920;Twix_Den_2;2020-03-01;2020;03;serenas;726354;9842516;cd
s110963;Guava_Den;2020-03-18;2020;03;serenas;725917;9842387;cd
s110973;Tijuana_Den;2020-01-01;2020;01;happyzebra;716446;9842598;cd
s111025;Tijuana_Den;2020-02-03;2020;02;happyzebra;716446;9842598;cd
s111114;Tijuana_Den;2020-03-02;2020;03;happyzebra;716446;9842598;cd
s1130;Texarkana_Den;2010-07-02;2010;07;happyzebra;716373;9842739;cd
s11327;IAT_Den;2013-12-04;2013;12;serenan;718355;9849119;cd
s11353;Schiphol_Den;2013-12-16;2013;12;serenan;723441;9844921;cd
s11374;J_Fab_Den;2013-12-22;2013;12;serenan;718389;9849092;cd
s11408;The_Hatch_Den;2013-01-03;2013;01;serenas;727333;9840695;cd
s1144;Tijuana_Den;2010-07-16;2010;07;happyzebra;716446;9842598;cd
s114445.1;Runway_Den;2020-08-04;2020;08;serenan;723060;9844579;cd
s114448;Runway_Den;2021-02-15;2021;02;serenan;723060;9844579;cd
s114463.1;Runway_Den_3;2020-08-19;2020;08;serenan;723190;9844517;cd
s114488.1;Runway_Den_3;2020-09-23;2020;09;serenan;723190;9844517;cd
s114496;Runway_Den;2021-03-01;2021;03;serenan;723060;9844579;cd
s114501.1;Runway_Den;2020-09-30;2020;09;serenan;723060;9844579;cd
s114504.1;Runway_Den_3;2020-10-04;2020;10;serenan;723190;9844517;cd
s11455;The_Hatch_Den;2013-02-01;2013;02;serenas;727333;9840695;cd
s114625;Circe_Den;2021-02-16;2021;02;serenas;724870;9840956;d
s114678;Hanging_Gardens_Den;2021-03-21;2021;03;serenas;724783;9841530;cd
s114808;Runway_Den;2021-04-01;2021;04;serenan;723060;9844579;cd
s11487;The_Staff_Den;2013-02-09;2013;02;serenas;727253;9840510;cd
s114906;Burning_Den;2021-04-30;2021;04;serenan;721298;9846439;cd
s114913;Burning_Den;2021-05-02;2021;05;serenan;721298;9846439;cd
s115036;Burning_Den;2021-06-02;2021;06;serenan;721298;9846439;cd
s115135;Circe_Den;2021-04-26;2021;04;serenas;724870;9840956;d
s115145;Superstar_Den;2021-05-01;2021;05;serenas;724855;9840062;cd
s11515;Lighthouse_Den;2013-02-16;2013;02;serenan;727206;9840510;cd
s115169;Superstar_Den_2;2021-05-12;2021;05;serenas;724791;9840072;cd
s115204;Superstar_Den_2;2021-06-02;2021;06;serenas;724791;9840072;cd
s11533;Lighthouse_Den;2013-03-01;2013;03;serenas;727206;9840510;cd
s115413;Eyrie_Den;2021-06-22;2021;06;happyzebra;718933;9843943;cd
s115421;Eyrie_Den_2;2021-06-25;2021;06;happyzebra;718888;9843911;cd
s115436;Superstar_Den_2;2021-07-03;2021;07;serenas;724791;9840072;cd
s115488;Superstar_Den_3;2021-08-07;2021;08;serenas;724828;9840099;cd
s115511;Superstar_Den;2021-08-25;2021;08;serenas;724855;9840062;cd
s115522;Superstar_Den_3;2021-09-03;2021;09;serenas;724828;9840099;cd
s115527;Superstar_Den;2021-09-07;2021;09;serenas;724855;9840062;cd
s115539;Superstar_Den_2;2021-09-20;2021;09;serenas;724791;9840072;cd
s115549;Nchoko_Den;2021-10-23;2021;10;serenas;724749;9839441;cd
s115559;Nchoko_Den_2;2021-10-28;2021;10;serenas;724689;9839404;cd
s115561;Nchoko_Den_2;2021-11-02;2021;11;serenas;724689;9839404;cd
s115577;Nchoko_Den;2021-11-09;2021;11;serenas;724749;9839441;cd
s115597;Lone_Elephant_Den;2021-12-04;2021;12;serenas;724765;9839596;cd
s115607;Lone_Elephant_Den2;2021-12-19;2021;12;serenas;724875;9839737;cd
s115612;Lone_Elephant_Den2;2022-01-13;2022;01;serenas;724875;9839737;cd
s115617;Lone_Elephant_Den_3;2022-01-21;2022;01;serenas;724854;9839665;d
s115633;Lone_Elephant_Den_3;2022-02-08;2022;02;serenas;724854;9839665;d
s115646;Lone_Elephant_Den_4;2022-03-13;2022;03;serenas;724824;9839786;d
s115668;Lone_Elephant_Den_4;2022-04-04;2022;04;serenas;724824;9839786;d
s115680.1;Dawn_Den;2022-05-16;2022;05;serenas;725153;9840668;cd
s115690.1;Dawn_Den;2022-06-02;2022;06;serenas;725153;9840668;cd
s115750;Dawn_Den;2022-07-04;2022;07;serenas;725153;9840668;cd
s115771;Dawn_Den_2;2022-07-27;2022;07;serenas;725266;9840651;cd
s115773;Dawn_Den_2;2022-08-02;2022;08;serenas;725266;9840651;cd
s115774;Dawn_Den;2022-08-04;2022;08;serenas;725153;9840668;cd
s115794;Lone_Elephant_Den_3;2022-08-22;2022;08;serenas;724854;9839665;d
s115804;Lone_Elephant_Den;2022-08-26;2022;08;serenas;724765;9839596;cd
s115842;Superstar_Den_2;2022-09-20;2022;09;serenas;724791;9840072;cd
s115893;Lugga_Den_III;2022-04-01;2022;04;happyzebra;718592;9844639;cd
s115903;Lugga_Den_III;2022-05-17;2022;05;happyzebra;718592;9844639;cd
s115904;Lugga_Den;2022-05-20;2022;05;happyzebra;718649;9844548;cd
s115909;Lugga_Den;2022-06-06;2022;06;happyzebra;718649;9844548;cd
s115920;Buffalo_Den;2022-06-13;2022;06;happyzebra;719627;9837833;d
s115931;Lugga_Den_4;2022-06-16;2022;06;happyzebra;718622;9844671;d
S115955;Saito's_Den_2;2022-10-01;2022;10;serenas;724929;9840470;cd
S116000;Mars_Den;2022-10-13;2022;10;serenas;723417;9840596;d
S116002;Saito's_Den;2022-10-14;2022;10;serenas;725054;9840520;cd
s116046;Saito's_Den_2;2022-11-01;2022;11;serenas;724929;9840470;cd
s116064;Dawn_Den_2;2022-11-04;2022;11;serenas;725266;9840651;cd
S116074;Saito's_Den;2022-11-15;2022;11;serenas;725054;9840520;cd
S116093;Dawn_Den;2022-11-18;2022;11;serenas;725153;9840668;cd
s11614;Lighthouse_Den;2013-04-11;2013;04;serenas;727206;9840510;cd
S116151;Saito's_Den_2;2022-12-01;2022;12;serenas;724929;9840470;cd
S116164;Dawn_Den_2;2022-12-02;2022;12;serenas;725266;9840651;cd
S116196;Dawn_Den;2022-12-06;2022;12;serenas;725153;9840668;cd
S116200;Scenic_Den;2022-12-06;2022;12;serenas;722522;9841425;cd
S116267;Crunk_Den_8;2022-10-03;2022;10;serenan;718181;9849203;cd
S116273;J_Fab_Den;2022-10-12;2022;10;serenan;718389;9849092;cd
S116294;J_Fab_Den;2022-11-04;2022;11;serenan;718389;9849092;cd
S116301;Diagon_Alley_Den_II;2022-11-20;2022;11;serenan;717981;9849311;cd
S116332;Lugga_Den_II;2022-10-03;2022;10;happyzebra;718642;9844590;cd
S116333;Lilac_Breasted_Roller_Den;2022-10-03;2022;10;happyzebra;714856;9847447;cd
S116352;Wapi_Dave_Den;2022-10-24;2022;10;happyzebra;714577;9847556;cd
S116361;Wapi_Dave_Den;2022-11-01;2022;11;happyzebra;714577;9847556;cd
S116362;Lugga_Den_II;2022-11-03;2022;11;happyzebra;718642;9844590;cd
S116384;Lugga_Den_II;2022-12-05;2022;12;happyzebra;718642;9844590;cd
s116506;Big_Sky_Den_2;2023-01-07;2023;01;serenas;725618;9841109;cd
s116540;Dudu_Den;2023-01-09;2023;01;serenas;725634;9840969;cd
s116551;South_Den;2023-01-10;2023;01;serenas;724375;9842053;cd
s11663;The_Hatch_Den;2013-06-01;2013;06;serenas;727333;9840695;cd
s116713.1;Big_Sky_Den;2023-01-20;2023;01;serenas;725670;9841131;cd
s116798;Big_Bush_Communal_Den;2023-01-25;2023;01;serenas;748061;9838502;d
s116894;Big_Sky_Den;2023-02-01;2023;02;serenas;725670;9841131;cd
s116940;Bird_Bath_Den;2023-02-23;2023;02;serenas;725337;9841541;cd
s116959;Bird_Bath_Den;2023-03-03;2023;03;serenas;725337;9841541;cd
s117075;Changra_Den;2023-01-07;2023;01;serenan;718635;9849330;cd
