utme;utmn;landmark_id;clan;year
718327;9835105;17km_Den;serena.n;2008
717702;9849474;3_Broomsticks_Den;serena.n;2010
719884;9851382;Aarhus_Den;serena.n;2011
749375;9838582;Acacia_Den;talek;2019
731226;9840709;Ackbar_Den;talek;2009
725623;9840924;Airplane_Den;serena.s;2014
727214;9840612;Ajira_Den;serena.s;2011
719098;9840106;Alamo_Den;happy.zebra;2011
718494;9849303;Albatross_Den;serena.n;2015
720265;9848034;All_Hallows'_Eve_Den;serena.n;2018
746470;9837032;Alternate_Aardvark_Communal_Den;talek;1996
718903;9833540;Alumni_Den;happy.zebra;2008
719656;9838561;Amazon_Den;happy.zebra;2009
718804;9844364;Ambush_Den;happy.zebra;2021
718523;9844405;Angry_Ele_Den;happy.zebra;2017
718503;9844377;Angry_Ele_Den_2;happy.zebra;2017
715027;9847714;Armani_Den;happy.zebra;2019
717309;9844189;Arson_Den;happy.zebra;2010
722709;9844770;Bakery_Den;serena.n;2008
740616;9841015;Banana_Tree_Communal_Den_2;talek;2007
741712;9835491;Barbie_Party_Den;talek;2015
746442;9838893;Base_Natal_Den/Communal_Den;talek;2003
724676;9842170;Bastion_Den;serena.s;2016
725937;9841648;Bberry_Den;serena.s;2017
718987;9850937;Beauxbatons_Den;serena.n;2010
719841;9851154;Belgrade_Den;serena.n;2012
720253;9851464;Bergen_Den;serena.n;2011
725670;9841131;Big_Sky_Den;serena.s;2009
725618;9841109;Big_Sky_Den_2;serena.s;2023
725337;9841541;Bird_Bath_Den;serena.s;2023
722792;9845795;Biscuits_n'_Gravy_Den;serena.n;2013
725499;9840852;Boone_Den;serena.s;2010
721485;9847576;Bordello_Den;serena.n;2010
744985;9839134;Boulevard_Den;talek;2005
744985;9839134;Boulevard_Den;talek;2006
724394;9842200;Bran_Den;serena.s;2017
718430;9848948;Bright_Eyes_Den;serena.n;2014
718276;9848942;Bright_Eyes_Den_ll;serena.n;2017
720534;9840559;Bubula_Den;happy.zebra;2013
719781;9851170;Budapest_Den;serena.n;2012
719627;9837833;Buffalo_Den;happy.zebra;2022
721298;9846439;Burning_Den;serena.n;2021
716718;9843752;Cacophony_Den;happy.zebra;2016
716384;9842738;Calexico_Den;happy.zebra;2012
718608;9836934;Cannibal_Cami_Den;happy.zebra;2014
719534;9838825;CERN_Den;happy.zebra;2008
717707;9844717;Challah_Den;happy.zebra;2019
717726;9849379;Chamber_of_Secrets_Den;serena.n;2010
718635;9849330;Changra_Den;serena.n;2023
718673;9849323;Changra_Den_2;serena.n;2023
723983;9846130;Chex_Den;serena.n;2011
724027;9845768;Cinnabon_Den;serena.n;2013
724870;9840956;Circe_Den;serena.s;2021
725383;9840846;Claire_Den;serena.s;2014
716904;9843283;Clamor_Den;happy.zebra;2016
746018;9837982;Cliff_Den;talek;2016
746082;9837966;Cliff_Den_2;talek;2019
716199;9844306;Cocobeach_Den;happy.zebra;2011
719522;9837495;Coincidence_D;happy.zebra;2008
719576;9837606;Coincidence_Den_2;happy.zebra;2023
725114;9841436;Colossus_of_Rhodes_Den;serena.s;2015
744211;9832288;Confusing_Den;talek;2019
744327;9831969;Confusing_Den_2;talek;2019
744260;9831828;Confusing_Den_3;talek;2019
719620;9851394;Copenhagen_Den;serena.n;2011
724243;9846030;Crepes_Den;serena.n;2011
746043;9840060;Crocodile_Den;talek;2008
746952;9837148;Croton_Edge_Communal_Den;talek;2009
718375;9849268;Crunk_Den;serena.n;2014
718357;9849270;Crunk_Den_2;serena.n;2018
718181;9849203;Crunk_Den_8;serena.n;2022
718357;9849270;Crunk_Den_II;serena.n;2018
718169;9842580;Culvert_City_Den;happy.zebra;2018
725153;9840668;Dawn_Den;serena.s;2019
725266;9840651;Dawn_Den_2;serena.s;2019
725495;9841916;Def_Den_II;serena.s;2017
725405;9841812;Defenestrate_Den;serena.s;2015
725495;9841916;Defenestrate_Den2;serena.s;2017
723652;9844975;DeGaulle_Den;serena.n;2008
723670;9844868;DeGaulle_Den_II;serena.n;2009
742067;9835491;Democracy_Den;talek;2015
746689;9836798;Den_of_Perfection;talek;2006
747634;9837096;Den_One_Creek_Den_Complex;talek;1994
725495;9840858;Dharma_Den;serena.s;2010
717949;9849283;Diagon_Alley_Den;serena.n;2010
717981;9849311;Diagon_Alley_Den_II;serena.n;2017
721449;9846717;Disappointment_Den;serena.n;2008
747037;9838562;Doom's_Day_Den;talek;2003
746900;9838610;Doom's_Day_Den_2;talek;2019
754400;9837283;Down_Under_Den;talek;2001
716653;9846058;Driving_under_the_Influence_Den;happy.zebra;2011
717292;9844132;Drunk_and_Disorderly_Den;happy.zebra;2010
733292;9842456;Dry_Den;talek;2003
725634;9840969;Dudu_Den;serena.s;2009
