landmark_id;utme;utmn;date;year 
CERN Den;719534;9838825;11/21/2008 2008-11-23;2008
Chamber of Secrets Den;717726;9849379;10/26/2010 2010-10-28;2010
Cheetah Tree Communal Den;748626;9837599;NA;NA
Cheke Communal Den;738492;9839360;2012;2012
Chex Den;723983;9846130;7/27/2011 2011-07-29;2011
Cinnabon Den;724027;9845768;9/11/2013 2013-09-11;2013
Ackbar Den;731226;9840709;2009;2009
Africa Communal Den;734423;9842238;2009;2009
Airplane Den;725623;9840924;12/4/2014 2014-12-31;2014
Ajira Den;727214;9840612;1/21/2011 2011-01-23;2011
Alamo Den;719098;9840106;5/7/2011 2011-05-09;2011
Alasiri Den;738979;9839242;11/21/2009;2009
Albatross Den;718494;9849303;8/8/2015 2015-08-08;2015
Albatross Den II;718442;9849329; 2018-05-28;2018
Albatross Den III;718445;9849308; 2018-06-07;2018
Alternate Aardvark Communal Den;746470;9837032;1996;1996
Alternative Stable State Den;738988;9845728;41752;
Alumni Den;718903;9833540;7/2/2008 2008-07-04;2008
Amazon Den;719656;9838561;2/8/2009 2009-02-10;2009
Amtrak Den;732038;9841637;2005;2005
Andy Warthol Den;752967;9837005;1996;1996
Angry Ele Den;718523;9844405;3/18/2017 2017-03-18;2017
Angry Ele Den 2;718503;9844377;5/4/2017;2017
Angry Ele Den II;718503;9844377; 2017-05-04;2017
Archer Plain Den;733416;9842079;2003;2003
Archer Plain East Den;733530;9842132;2003;2003
17km Den;718327;9835105;6/29/2008 2008-06-29;2008
3 Broomsticks Den;717702;9849474;11/3/2010 2010-11-05;2010
4th of July Den;719707;9847154;12/17/2012 2012-12-17;2012
"A ""Gnu"" Hope Den";733657;9841700;2013;2013
Aardvark Road Communal Den;746215;9836864;1996;1996
Aardwolf Communal Den;745294;9838050;NA;
Aarhus Den;719884;9851382;2/26/2011 2011-02-28;2011
Banana Tree Communal Den;740512;9859417,9840994,9840994;2006;2006
Banana Tree Communal Den 2;740616;9841015;2007;2007
Banjo Natal Den;732238;9842284;40911;
Barbie Party Den;741712;9835491;8/17/2015,42233;2015
Base Natal Den/Communal Den;746442;9838893;2003;2003
Bastion Den;724676;9842170;8/29/2016 2016-08-29;2016
Bberry Den;725937;9841648;7/24/2017;2017
Beauxbatons Den;718987;9850937;9/15/2010 2010-09-17;2010
Belgrade Den;719841;9851154;8/29/2012 2012-08-29;2012
Benser Den;741471;9837728;5/25/2017,42880;2017
Bergen Den;720253;9851464;8/22/2011 2011-08-24;2011
Big Bend Den;743702;9839390;2001;2001
Big Bush Communal Den;748061;9838502;40876;
Big Bush Den;748061;9838502;NA;
Big Sky Den;725670;9841131;10/22/2009 2009-10-24;2009
