landmark_id;clan;year;month;session;hyenas;utme;utmn
DOC_Den_2;talek;2016;11;97332.1;ares,baez,buar,decm,hito,hrtz,joul,knot,nano,neon,tami,tira,urc,wrth;747700;9837031
Disappointment_Den;happyzebra;2008;06;s0.26;bliz,mcrn,mfn,rbc,ursa;721449;9846717
Disappointment_Den;serenan;2008;06;s0.41;elf,hndy,mcrn,mfn,mstl,ursa;721449;9846717
Alumni_Den;happyzebra;2008;07;s0.59;bbt,bsby,clyd,glam,hb,ptp;718903;9833540
Schiphol_Den;serenan;2013;07;s10004;jude,mchl,slim,spud;723441;9844921
Schiphol_Den;serenan;2013;07;s10005;dalt,jude,mchl,slim,spud;723441;9844921
Grits_Den;serenan;2013;07;s10010;ema,gobe,rama,rmon,strm;724180;9846138
Schiphol_Den;serenan;2013;07;s10016;dalt,ele,jude,mchl,spud;723441;9844921
Schiphol_Den;serenan;2013;07;s10017;arro,dalt,jude,mchl,slim,spud;723441;9844921
Grits_Den;serenan;2013;07;s10024;ema,logc,tnsl;724180;9846138
Schiphol_Den;serenan;2013;07;s10027;jude,mchl,spud;723441;9844921
Grits_Den;serenan;2013;07;s10030;arro,cstz,dalt,ink,logc,rmon,slim,strm,tnsl,ypsi;724180;9846138
Grits_Den;serenan;2013;07;s10030;arro,cstz,dalt,ink,logc,rmon,slim,strm,tnsl,ypsi;724180;9846138
Benedict_Den;serenan;2013;07;s10030;arro,cstz,dalt,ink,logc,rmon,slim,strm,tnsl,ypsi;723973;9846252
Grits_Den;serenan;2013;07;s10030;arro,cstz,dalt,ink,logc,rmon,slim,strm,tnsl,ypsi;724180;9846138
Schiphol_Den;serenan;2013;07;s10034;jude,mchl,spud;723441;9844921
Grits_Den;serenan;2013;07;s10037;cstz,dalt,logc,rama,slim;724180;9846138
Grits_Den;serenan;2013;07;s10038;bilj,crim,cstz,ele,hucn,jude,logc,mchl,rama,rmon,spud,strm,wf;724180;9846138
Schiphol_Den;serenan;2013;07;s10040;bilj,crim,dalt,hndy,ink,slim,spud;723441;9844921
Schiphol_Den;serenan;2013;07;s10044;arro,cstz,jude,logc,mchl,rama,rmon,strm;723441;9844921
Schiphol_Den;serenan;2013;07;s10047;bilj,crim,spud;723441;9844921
Schiphol_Den;serenan;2013;07;s10048;hndy,ratc,spud;723441;9844921
Schiphol_Den;serenan;2013;07;s10049;hndy,ratc,spud;723441;9844921
