clan;year;session;location;landmark_id;utme;utmn
talek;2019;107098.1;o;Stupid_Bushes,_Northwest_Edge;746324;9837231
serenan;2020;2114446.1;o;Penta_Junction;722783;9843762
talek;2003;39175.5;o;Teapot_Tree_Crossing;747585;9837227
talek;1996;9219.02;o;Laura_Tree;749743;9836509
talek;1996;9219.05;o;Balloon_Tree;748126;9835148
talek;2016;97332.1;d;DOC_Den_2;747700;9837031
talek;2016;97989.2;o;DOC_Den_2;747700;9837031
serenas;2022;S115955;d;Saito's_Den_2;724929;9840470
serenas;2022;S115956;d;Saito's_Den_2;724929;9840470
serenas;2022;S115957;n;HONR_Natal_Den;724063;9841128
serenas;2022;S115958;o;Fluffy_Pillow;724464;9841005
serenas;2022;S115959;o;Fluffy_Pillow;724491;9841137
serenas;2022;S115964;o;Muddy_Waters;723745;9841447
serenas;2022;S115966;o;Saito's_Den_2;725183;9840372
serenas;2022;S115967;d;Saito's_Den_2;724929;9840470
serenas;2022;S115969;d;Saito's_Den_2;724929;9840470
serenas;2022;S115972;n;HONR_Natal_Den;724063;9841128
serenas;2022;S115974;n;HONR_Natal_Den;724063;9841128
serenas;2022;S115975;n;JOJO_Natal_Den;724932;9841345
serenas;2022;S115976;o;Saito's_Den_2;724929;9840470
serenas;2022;S115978;o;Fakeout_Crossing;726864;9838827
serenas;2022;S115980;o;Bizence;725301;9840217
serenas;2022;S115981;o;Bizence;725447;9840106
serenas;2022;S115982;d;Saito's_Den_2;724929;9840470
serenas;2022;S115983;o;Lady_Lumps;725897;9839683
serenas;2022;S115984;c;Lady_Lumps;726351;9839630
serenas;2022;S115985;c;Bizence;725338;9840152
serenas;2022;S115987;d;Saito's_Den_2;724929;9840470
serenas;2022;S115989;o;Bizence;725440;9840072
serenas;2022;S115990;o;Bizence;725031;9839949
serenas;2022;S115991;n;HONR_Natal_Den;724063;9841128
serenas;2022;S115992;d;Saito's_Den_2;724929;9840470
serenas;2022;S115994;d;Saito's_Den_2;724929;9840470
serenas;2022;S115995;o;Bizence;725361;9840064
serenas;2022;S115996;n;HONR_Natal_Den;724063;9841128
serenas;2022;S115997;k;HONR_Natal_Den;724296;9841169
serenas;2022;S115998;o;Western_Front;724122;9840046
