"";"landmark_id";"year";"session";"total_cubs"
"1";"Resurrection_Main_Den";2017;"t98725";21
"2";"Resurrection_Main_Den";2017;"t99148";21
"3";"Riverbend_Den";2012;"t76448";21
"4";"Riverbend_Den";2012;"t76581";21
"5";"Riverbend_Den";2012;"t76642";21
"6";"Riverbend_Den";2012;"t77035";21
"7";"Resurrection_Main_Den";2016;"t94070";20
"8";"Resurrection_Main_Den";2016;"t94161";20
"9";"Resurrection_Main_Den";2017;"t99135";20
"10";"Riverbend_Den";2012;"t76473";20
"11";"Riverbend_Den";2012;"t76659";20
"12";"Riverbend_Den";2012;"t76697";20
"13";"Big_Bush_Communal_Den";2017;"t99196";19
"14";"Resurrection_Main_Den";2017;"t99130";19
"15";"Plantation_Den";2013;"t81263";18
"16";"Resurrection_Communal_Den";2011;"t73000";18
"17";"Resurrection_Main_Den";2017;"t98701";18
"18";"Resurrection_Main_Den";2017;"t98706";18
"19";"Riverbend_Den";2012;"t76619";18
"20";"Riverbend_Den";2012;"t76683";18
"21";"Riverbend_Den";2012;"t76853";18
"22";"Riverbend_Den";2012;"t76973";18
"23";"Big_Bush_Communal_Den";2017;"t99675";17
"24";"Flintstone_Den";2015;"t92878";17
"25";"Plantation_Den";2013;"t81239";17
"26";"Plantation_Den";2013;"t81335";17
"27";"Resurrection_Main_Den";2017;"t99128";17
"28";"Resurrection_Main_Den";2017;"t99170";17
"29";"Resurrection_Main_Den";2017;"t99634";17
"30";"Riverbend_Den";2012;"t76329";17
"31";"Riverbend_Den";2012;"t76428";17
"32";"Riverbend_Den";2012;"t76788";17
"33";"Riverbend_Den";2012;"t77150";17
"34";"Big_Bush_Communal_Den";2017;"t99692";16
"35";"Central_Park_Communal_Den";2013;"t81907";16
"36";"Dave's_Den";2010;"t70269";16
"37";"Dave's_Den";2015;"t92522";16
"38";"Plantation_Den";1989;"t394";16
"39";"Resurrection_Main_Den";2016;"t94009";16
"40";"Resurrection_Main_Den";2016;"t94078";16
"41";"Resurrection_Main_Den";2017;"t98585";16
"42";"Resurrection_Main_Den";2017;"t98666";16
"43";"Resurrection_Main_Den";2017;"t98691";16
"44";"Resurrection_Main_Den";2017;"t99149";16
"45";"Resurrection_Main_Den";2017;"t99174";16
"46";"Riverbend_Den";2012;"t75432";16
"47";"Riverbend_Den";2012;"t76270";16
"48";"Riverbend_Den";2012;"t76291";16
"49";"Riverbend_Den";2012;"t76520";16
"50";"Riverbend_Den";2012;"t76879";16
"51";"Riverbend_Den";2012;"t77229";16
"52";"Riverbend_Den";2012;"t77310";16
"53";"Riverbend_Den";2013;"t81001";16
"54";"Central_Park_Communal_Den";2013;"t81760";15
"55";"Central_Park_Communal_Den";2013;"t81824";15
"56";"Dave's_Den";2011;"t73106";15
"57";"Dave's_Den";2015;"t92173";15
"58";"Flapjack_Den";2013;"s10661";15
"59";"Flapjack_Den";2013;"s10670";15
"60";"Flintstone_Den";2015;"t92817";15
"61";"Flintstone_Den";2015;"t92843";15
"62";"Flintstone_Den";2015;"t92917";15
"63";"Flintstone_Den";2015;"t92951";15
"64";"Flintstone_Den";2015;"t92959";15
"65";"Flintstone_Den";2015;"t93015";15
"66";"Flintstone_Den";2015;"t93023";15
"67";"IAT_Den";2016;"s18687";15
"68";"Kinda-See-Em_Den";2013;"t83074";15
"69";"Kinda_See_Em_Den_Two";2010;"t69506";15
"70";"Lugga_Den_II";2019;"s109831";15
"71";"Plantation_Den";2013;"t81203";15
"72";"Plantation_Den";2013;"t81229";15
"73";"Portcullis_Den";2016;"s20669";15
"74";"Resurrection_Main_Den";2016;"t94340";15
"75";"Resurrection_Main_Den";2017;"t98559";15
"76";"Resurrection_Main_Den";2017;"t98609";15
"77";"Resurrection_Main_Den";2017;"t99159";15
"78";"Riverbend_Den";2011;"t72620";15
"79";"Riverbend_Den";2012;"t76249";15
"80";"Riverbend_Den";2012;"t76363";15
"81";"Riverbend_Den";2012;"t76393";15
"82";"Riverbend_Den";2012;"t76647";15
"83";"Riverbend_Den";2012;"t76676";15
"84";"Riverbend_Den";2012;"t76932";15
"85";"Riverbend_Den";2012;"t77058";15
"86";"Riverbend_Den";2012;"t77411";15
"87";"Riverbend_Den";2013;"t82428";15
"88";"Riverbend_Den";2013;"t82513";15
"89";"Big_Bush_Communal_Den";2017;"t99736";14
"90";"Big_Bush_Communal_Den";2017;"t99779";14
"91";"Central_Park_Communal_Den";2013;"t80859";14
"92";"Central_Park_Communal_Den";2013;"t81545";14
"93";"Central_Park_Communal_Den";2013;"t81801";14
"94";"Central_Park_Communal_Den";2013;"t81852";14
"95";"Central_Park_Communal_Den";2018;"t102685";14
"96";"Central_Park_Communal_Den";2018;"t102730";14
"97";"Dave's_Den";2010;"t70099";14
"98";"Dave's_Den";2015;"t92454";14
"99";"Dave's_Den";2015;"t92569";14
"100";"Dave's_Den";2015;"t92590";14
"101";"DeGaulle_Den";2009;"s1820";14
"102";"Flintstone_Den";2015;"t92811";14
"103";"Flintstone_Den";2015;"t92864";14
"104";"Flintstone_Den";2015;"t92887";14
"105";"Flintstone_Den";2015;"t92919";14
"106";"Flintstone_Den";2015;"t92988";14
"107";"Flintstone_Den";2015;"t93004";14
"108";"Flintstone_Den";2015;"t93014";14
"109";"Flintstone_Den";2015;"t93030";14
"110";"Flintstone_Den";2015;"t93051";14
"111";"Flintstone_Den";2015;"t93081";14
"112";"Flintstone_Den";2017;"t101219";14
"113";"Grits_Den";2011;"s6478";14
"114";"Grits_Den";2013;"s10652";14
"115";"IAT_Den";2016;"s18666";14
"116";"IAT_Den";2016;"s18667";14
"117";"IAT_Den";2016;"s19247";14
"118";"Kinda-See-Em_Den";2008;"t63541";14
"119";"Kinda-See-Em_Den";2013;"t82896";14
"120";"Kinda_See_Em_Den_Two";2010;"t69284";14
"121";"Kinda_See_Em_Den_Two";2010;"t69316";14
"122";"Lugga_Den_II";2019;"s109387";14
"123";"Lugga_Den_II";2019;"s109869";14
"124";"Oceanic_Den";2019;"s110188";14
"125";"Oceanic_Den";2019;"s110195";14
"126";"Plantation_Den";2013;"t81154";14
"127";"Plantation_Den";2013;"t81280";14
"128";"Plantation_Den";2013;"t81318";14
"129";"Portcullis_Den";2017;"s21088";14
"130";"Resurrection_Main_Den";2016;"t93606";14
"131";"Resurrection_Main_Den";2016;"t93666";14
"132";"Resurrection_Main_Den";2016;"t93688";14
"133";"Resurrection_Main_Den";2016;"t93751";14
"134";"Resurrection_Main_Den";2016;"t93847";14
"135";"Resurrection_Main_Den";2016;"t93850";14
"136";"Resurrection_Main_Den";2016;"t93887";14
