id;dob;dob_event_status;dob_event_data;dob_error;dob_notes;dfs;dfs_event_status;dfs_event_data;dfs_error;dfs_notes;dengrad;dengrad_event_status;dengrad_event_data;dengrad_error;dengrad_notes;weaned;weaned_event_status;weaned_event_data;weaned_error;weaned_notes;change_clan;change_clan_event_status;change_clan_event_data;change_clan_error;change_clan_notes;change_clan2;change_clan2_event_status;change_clan2_event_data;change_clan2_error;change_clan2_notes;change_clan3;change_clan3_event_status;change_clan3_event_data;change_clan3_error;change_clan3_notes;disappeared;disappeared_event_status;disappeared_event_data;disappeared_error;disappeared_notes,,,,,,
02;1977-01-01;;talek;;;1977-01-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1993-04-12;dls;inferred dead;;,,,,,,
03;1979-01-01;;talek;;;1979-01-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1988-10-08;dls;inferred dead;;,,,,,,
1019;NA;;unknown;;;1986-10-15;;;;;NA;;;;;NA;;;;;1986-10-15;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1991-11-09;dls;inferred dead;;,,,,,,
1067;NA;;unknown;;;2016-03-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
11;NA;;talek;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;inferred dead;;,,,,,,
1361;2017-12-13;;kcm;;;2018-06-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-06-02;dead;hit by a car;;,,,,,,
137;NA;;fig.tree;;;1993-01-03;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1993-01-03;dls;;;check EventStatus and EventData,,,,,,
16;NA;;talek;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;inferred dead;;,,,,,,
1ear;NA;;unknown;;;1989-11-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-11-25;dls;fate unknown;;,,,,,,
23s;1983-06-01;;talek;;;1983-06-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1995-03-25;dls;lions;;,,,,,,
27;1979-07-01;;talek;;;1979-07-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990-06-01;dls;inferred dead;;,,,,,,
31;NA;;talek;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;inferred dead;;,,,,,,
3fg;NA;;unknown;;;1996-07-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1996-08-07;dls;fate unknown;;,,,,,,
3qm;NA;;unknown;;;1990-06-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990-06-30;dls;fate unknown;;,,,,,,
40;NA;;talek;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;inferred dead;;,,,,,,
406;NA;;scomfort;;;2001-02-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-02-27;;;;check EventStatus and EventData,,,,,,
44;1979-03-01;;talek;;;1979-03-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1979-03-01;dls;inferred dead;;This hyena disappeared prior to KEH beginning the project in 1988. We do not know what date. This date is a placeholder.,,,,,,
46;NA;;unknown;;;1979-03-01;;;;;NA;;;;;NA;;;;;1979-03-01;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-10-03;dls;lions;;,,,,,,
63;NA;;talek;;;2009-09-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2009-09-01;dls;inferred dead;;check EventStatus and EventData,,,,,,
65;NA;;unknown;;;1980-08-01;;;;;NA;;;;;NA;;;;;1980-08-01;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990-12-06;dls;lions;;,,,,,,
66:9;NA;;unknown;;;1986-07-01;;;;;NA;;;;;NA;;;;;1986-07-01;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1988-07-23;dls;fate unknown;;,,,,,,
67;1979-06-01;;talek;;;1979-11-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-12-16;dls;inferred dead;;,,,,,,
67sm;1985-09-01;;talek;;;1985-09-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-08-20;dls;dispersed;;,,,,,,
79;1981-07-01;;talek;;;1981-09-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-10-30;dls;lions;;,,,,,,
990;NA;;;;;2001-06-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-06-09;dls;;;,,,,,,
9b;NA;;unknown;;;1990-06-25;;;;;NA;;;;;NA;;;;;1990-06-25;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1993-08-10;dls;dispersed;;,,,,,,
a102;NA;;unknown;;;2001-04-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a103;NA;;unknown;;;2001-04-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-04-15;;;;check EventStatus and EventData,,,,,,
a1039;NA;;unknown;;;2015-01-17;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;;;,,,,,,
a104;NA;;unknown;;;2001-04-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-04-15;;;;check EventStatus and EventData,,,,,,
a1041;NA;;unknown;;;2015-02-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1045;NA;;unknown;;;2015-03-16;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1048;NA;;unknown;;;2015-03-31;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a105;NA;;unknown;;;2001-04-16;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-04-16;;;;check EventStatus and EventData,,,,,,
a1051;NA;;unknown;;;2015-04-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1053;NA;;unknown;;;2015-04-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1054;NA;;unknown;;;2015-04-18;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1055;NA;;unknown;;;2015-05-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1056;NA;;unknown;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
